"","ESC.1.15.OPR.279514","ESC.1.24.OPL.279654","ESC.1.34.OPR.279524","ESC.1.33.OPL.279468","ESC.1.9a.OPL.279644","ESC.1.28.OPR.279603","ESC.1.62.OPL.279669","ESC.1.53.OPL.279544","ESC.1.45.OPL.279704","ESC.1.28.OPL.279617","ESC.1.34.OPL.279562","ESC.1.42.OPL.279703","ESC.1.49.OPL.279522","ESC.1.72.OPR.279523","ESC.1.61.OPR.279506","ESC.1.45.OPR.279442","ESC.1.65.OPL.279620","ESC.1.55.OPR.279483","ESC.1.60.OPR.279487","ESC.1.71.OPR.279471","ESC.1.35.OPR.279455","ESC.1.68.OPR.279573","ESC.1.20.OPL.279671","ESC.1.23.OPL.279686","ESC.1.44.OPR.279527","ESC.1.63.OPL.279420","ESC.1.37.OPR.279696","ESC.1.47.OPL.279646","ESC.1.49.OPR.279650","ESC.1.26.OPR.279484","ESC.1.43.OPL.279611","ESC.1.53.OPR.279665","ESC.1.1.OPR.279601","ESC.1.65.OPR.279502","ESC.1.26.OPL.279470","ESC.1.17.OPR.279511","ESC.1.29.OPL.279486","ESC.1.55.OPL.279670","ESC.1.48.OPR.279680","ESC.1.71.OPL.279661","ESC.1.61.OPL.279525","ESC.1.43.OPR.279635","ESC.1.50.OPL.279499","ESC.1.69.OPL.279699","ESC.1.38.OPR.279528","ESC.1.56.OPR.279444","ESC.1.62.OPR.279652","ESC.1.17.OPL.279551","ESC.1.19.OPL.279430","ESC.1.22.OPR.279421","ESC.1.32.OPL.279633","ESC.1.72.OPL.279581","ESC.1.51.OPR.279561","ESC.1.20a.OPL.279437","ESC.1.30.OPL.279456","ESC.1.48.OPL.279572","ESC.1.59.OPR.279629","ESC.1.5.OPR.279659","ESC.1.24.OPR.279606","ESC.1.44.OPL.279532","ESC.1.64.OPR.279439","ESC.1.30.OPR.279564","ESC.1.47.OPR.279560","ESC.1.50.OPR.279637","ESC.1.20.OPR.279692","ESC.1.39.OPL.279608","ESC.1.51.OPL.279500","ESC.1.60.OPL.279582","ESC.1.64.OPL.279491","ESC.1.46.OPL.279623","ESC.1.56.OPL.279540","ESC.1.33.OPR.279647","ESC.1.1.OPL.279586","ESC.1.58.OPL.279556","ESC.1.37.OPL.279622","ESC.1.40.OPL.279667","ESC.1.46.OPR.279457","ESC.1.31.OPL.279464","ESC.1.19.OPR.279460","ESC.1.52.OPR.279589"
"533937",1.24,11.12,0.48,0.01,0,0.11,16,0.35,0,5,0,0.02,38,5,1,0.01,0.13,0.32,0.01,0.76,1,3,3.91,0,2,60.91,2.64,34,36,0.17,0.14,4,2,2,10,3,116,0.06,0,0.05,6,0.45,3.73,0.01,11,1,58.87,3,5,0.06,2,0,33,0.01,6,0,0,0,4,6,0,12,3,6,0.1,7,6,0,0,0.08,1,0.01,0.01,6,2,0.02,1,0.06,16.77,0
"89232",0,0,0.01,1,0,1,0,0,1,0,0,0,0,0.01,0,0.03,1,0,1,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.02,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.02,0,6,0,0,0,0,0.01,0,0.05,0,0,0.03,0,0,0,0,0,0,0.01,1,0,0,1,0,0,0,0,0,0.1,0,0
"11191",0,0,0.01,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.02,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"529659",16,43,10,26.25,1,2.77,54.59,16,0,1,4,17,10.49,3,125,0.01,0.26,85.4,21,5,80,23,1,28.14,10,35.31,2,1,9,7,38,32,0.35,21,101.09,123.36,4.68,6,3,3.98,93,11,3,32,1,12,1,23,0.76,23,12.12,15,3,1,17,1,140,55,100,10,59,0.01,1.58,2,8.39,19,2.5,97,89,28,25,6,88.82,0.03,8,53,1.59,4,1,55
"142000",0,3,0,5.53,0,3,2.43,0.33,0.01,1.1,1,0.13,0.15,0.03,1,0,3,0.39,0,1,19,1,5,0,6,0.18,0.02,17,0,10,6,0.01,2,3,0.04,0,12,1,0,1,0.09,1,3,1,4,5,7,0,18,7,20.83,2.36,14,2,0,0.06,0,0,2,0.13,0.01,2,10,5,0.01,1,24,0,0,0.06,3.61,8,0.91,10.16,0.15,0.09,0,1,3,0
"236623",0,0,0,1,0,0,0.01,0,2,0,0,0,0,0,0,0.04,0,0.02,0,1,0,0,0,0,1,0.03,0,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0.04,0.01,0,0,0,1,0,1,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.01,0.06,0,0,0,0,0,0,0,0
"145149",0.03,14,1,0.07,0.01,0.02,3,2,0,0.39,1,4.8,0,4,2,0.08,0,0.08,9,3,2,0.02,0,1.21,0.05,0.23,1,3,0,0,0.48,1,6.81,0,1,2,0,1,0,0.2,1,0.31,0.04,2,0.39,0.8,3,3.89,1,1,1.97,27,0,0.01,0.01,0,2,1.09,1,0.5,6,0.02,0.8,0.17,0,1,0.01,0.11,0.02,0.7,1,0,1,0.06,0.04,1,0.01,2,0.01,1
"109771",0.05,0,0,0,0,0,0,1,0,0,0,1,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0,3,0,0,0,0.46,0,0,0,0,0.04,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0.01,0,0,0.01,0,0,0,0,0,0,0.03,0,1,0,0,0,0,0,0.01,0,45,0,2
"254175",0,89,0.47,0,0,0,1,0,0,0.61,0.56,0.15,0,0.14,9,0,0,0,56,0.54,0.01,0,0,0.02,0,0.01,2,0,0,2,0.03,0,0.79,0,1,0,0,0,0.01,0,0.06,0.12,0,1,0.01,0,0,0,0.01,2,1,0.02,0,0,0,0,0,29,0,0,0.74,0,0,0.01,0,0.13,0,5.33,0.22,6,0,0,0.26,0,2,0,0,21,0,0
"259569",0.91,0,1,0,0.06,0,0,0,0,0,0.02,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0
