"","ESC.1.15.OPR.279514","ESC.1.24.OPL.279654","ESC.1.34.OPR.279524","ESC.1.33.OPL.279468","ESC.1.9a.OPL.279644","ESC.1.28.OPR.279603","ESC.1.62.OPL.279669","ESC.1.53.OPL.279544","ESC.1.45.OPL.279704","ESC.1.28.OPL.279617","ESC.1.34.OPL.279562","ESC.1.42.OPL.279703","ESC.1.49.OPL.279522","ESC.1.72.OPR.279523","ESC.1.61.OPR.279506","ESC.1.45.OPR.279442","ESC.1.65.OPL.279620","ESC.1.55.OPR.279483","ESC.1.60.OPR.279487","ESC.1.71.OPR.279471","ESC.1.35.OPR.279455","ESC.1.68.OPR.279573","ESC.1.20.OPL.279671","ESC.1.23.OPL.279686","ESC.1.44.OPR.279527","ESC.1.63.OPL.279420","ESC.1.37.OPR.279696","ESC.1.47.OPL.279646","ESC.1.49.OPR.279650","ESC.1.26.OPR.279484","ESC.1.43.OPL.279611","ESC.1.53.OPR.279665","ESC.1.1.OPR.279601","ESC.1.65.OPR.279502","ESC.1.26.OPL.279470","ESC.1.17.OPR.279511","ESC.1.29.OPL.279486","ESC.1.55.OPL.279670","ESC.1.48.OPR.279680","ESC.1.71.OPL.279661","ESC.1.61.OPL.279525","ESC.1.43.OPR.279635","ESC.1.50.OPL.279499","ESC.1.69.OPL.279699","ESC.1.38.OPR.279528","ESC.1.56.OPR.279444","ESC.1.62.OPR.279652","ESC.1.17.OPL.279551","ESC.1.19.OPL.279430","ESC.1.22.OPR.279421","ESC.1.32.OPL.279633","ESC.1.72.OPL.279581","ESC.1.51.OPR.279561","ESC.1.20a.OPL.279437","ESC.1.30.OPL.279456","ESC.1.48.OPL.279572","ESC.1.59.OPR.279629","ESC.1.5.OPR.279659","ESC.1.24.OPR.279606","ESC.1.44.OPL.279532","ESC.1.64.OPR.279439","ESC.1.30.OPR.279564","ESC.1.47.OPR.279560","ESC.1.50.OPR.279637","ESC.1.20.OPR.279692","ESC.1.39.OPL.279608","ESC.1.51.OPL.279500","ESC.1.60.OPL.279582","ESC.1.64.OPL.279491","ESC.1.46.OPL.279623","ESC.1.56.OPL.279540","ESC.1.33.OPR.279647","ESC.1.1.OPL.279586","ESC.1.58.OPL.279556","ESC.1.37.OPL.279622","ESC.1.40.OPL.279667","ESC.1.46.OPR.279457","ESC.1.31.OPL.279464","ESC.1.19.OPR.279460","ESC.1.52.OPR.279589"
"561636",0,0,1,0,0,0,0,0,0,0,0.02,0,0.01,0,0,0,0.01,0,1,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,2,1,3,0.03,0,0,4.28,0,0,0.01,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0.01,2
"470805",0.02,38,2,3,0.61,9,1,24.97,82.81,10,6.89,2.52,0.01,9,1.02,34,4,5,47,8,2.27,0.06,19,0.84,0.04,14.06,0,0.2,1,7.51,6,0.02,42,0,0.03,55,8,3,0.02,18,14,155,27,2,3,10,0.64,0.2,1,0.39,7,5.83,0.17,26,0,0,1,19,0.03,0.05,24.6,2,0.38,2,7.22,13,0.09,5,3,6,1,0.01,56,1,0.05,2,2,22.17,3.79,1.33
"33043",0,0,1,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"149051",0,0,1,0,0,0.01,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125439",0,1,0,1,0.01,1,48,0.03,96,5.87,0,0.58,0.01,0,10,0,0.04,0,0,0,10,1,18,0,8,0.09,2,4,4,0.04,6.65,0,0,0.02,0.07,1.97,31,0,0.01,0,2,1,3,1.39,92.39,1,260.29,0,2.82,44,1,0,91,8.27,0,0.03,0,0,0.35,1,0,0.25,8,11,10.93,0.05,75,0,0,0.02,0,3,0,27,5,0,0,5.33,0,0
"442949",21.63,152,71,78,1,18,81,45,8,122.92,15.7,158,22,28,122,63.34,60,85,144,82,454,121,251.47,333.63,144,111,2.37,384.42,109,53,260,100,147,127,50,35,100.38,588.24,46,50,156,106,74,108,98,136,149,46,90,43,4,171.2,233,4.6,93.94,8,137,668,230,122,170,34,201,183,17.56,202,224,306,297,84,23.7,53,42.91,104,95,265,101,22,3.96,192
"543032",0,0.01,0,0.01,0,0.99,0,0,9,3,0,0,0,0,0.17,0.01,1,0.11,0,0,1,0.23,2,0,1,0.02,0,0,0,0,4,0,0,0,0,0,0.27,15,0,0,2,0.01,6,0,5,0.01,0.01,0,0.01,0,60,0,0.05,1,0,0,0,0,0,0,0,0.21,45.82,4,4.58,0,0.17,0,0,0.03,0,0,0,0.17,0.23,0.28,0,3,1,0
"585307",0,0,1,0,1,0,0,0,1,0,0.89,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.32,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
"535825",8,30,3,40,20.72,3,2.36,11,0.01,2,8,85,2,13.61,43,1,14,28,15,17.79,116,0.48,0.03,33.33,6.06,0.04,5,3,14,26,157.93,11,10,34.13,40,0.44,0.04,34,0,7,49,8,14,47,0.38,0.08,0,0.94,3,77,0,15,22.16,0,8,2,129,88,64,7,69,2,0,21.77,0,67,2,43,92,37,74,15,4.88,9,2,122,52,1,0.01,118
"92743",40.87,6,4,60,0.04,0.27,0.01,13,79.16,0.31,2.15,1.59,0.57,65,0.06,9,4,40,9,10,6.76,4,7,66.57,8,0.83,1.83,38,23,8,18,0.57,16,0,4,0.02,9,5,5,91.06,0.02,66,2.05,48.5,22,2,70,92,29,0.51,11.31,21.66,62,2,0,0.01,22,2.14,20,16,3,0.12,25,0.11,0,1,70,6,1.83,13.94,4,0.01,39,4,0.01,4,4,1,2,1.46
"39443",13.95,9,0.08,4,0,1,1,47.11,0.04,3,0,6,1,14,8,0.02,1,20,0.91,13,4,14,10,1,2,0.09,15,25,2,49,9,8.1,6,1,56,9,52.5,8,7,4,0.01,8.64,9,4,0,0.53,3,26.5,7,4,0.01,5,3,15.24,0.7,3.69,3,19,0.06,2.4,4,7,16,0.14,0,7,1.05,1,26,9,12,2.03,18.56,0.75,3,13.86,7,0.12,0.02,2
"524245",0,0,0,0,1,2,0,0,0.01,0.01,0.04,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.03,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"592015",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0
"589746",1,0.78,0.04,1,3.23,1,2,4,1,1.79,0.01,1.92,1,9.32,11,1,0.16,1,1,1.76,13,22,1,0.44,1.58,0.11,0.12,1,9,2.93,3,0,1,0.01,12,2,28.96,1,0.02,3,17,1,4,2,1,8,6,3,5,3,0.08,10.15,4,2.01,3,0.09,0.3,0.06,0.01,0.18,2,2.92,2,5,0,3,0.64,0.76,1,7.42,0.06,0.01,1,3,3,14,3,0.73,1,1
"177111",2,0,0,0.01,0.03,0,4,1,0.01,0,0.01,0,0,0,0,1,0,9,0,2,0,0,0,0.02,0,1,0,0,0,0,0,0,0.08,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0
"79234",3,2,1,17,0.03,1,0.05,5,0,0.17,2,5,1,0.74,3.56,0.44,4,11,4.95,8,34,1.63,4,3,35,0.02,2,7,5,21,12,5,37,7,42.25,0.48,0.89,78.7,3,12.07,9,7,3,6.28,1.91,3,0.43,10,2.86,0.06,0.04,7,4,1,3,6.82,56,115.61,6,5.13,7,0.4,1.1,3,0,35,4,31,20,38.15,2,14,1,2,1,52,3,0.73,0.02,9
"469478",0.64,10,0.02,2,1.32,1,2.23,1,3,28.75,0,0.02,0,20,4,7,2,3,0.07,1,3,2,4.65,14,1,0,0.01,3.76,0.09,0.49,0.24,0,5,5,0.1,33,1.64,1,1,6,1,0.25,1,1,5.15,1,5,28.71,6,15,3.4,40.04,3,2.67,0,0,0.26,2,0.35,0.04,1,0.17,1,0.66,0,0.01,2,0.08,3,0.12,1,0.06,18,1,1,5,0.15,4,0.02,1
"7349",0,0,0,0,2,0,0,0,0,0,0.27,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70628",0,0,0,0.02,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,1,0,0,0.04,0,0,1,0,0,0,0.01,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.04,1,0,0,0,0.01,0,0,0,0,0,3
"236021",0,0,0,0,0.01,0,0,0,0.15,0,0,0,0,0,1,1,0,0,0,0,0.02,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"203852",0.01,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.01,0,2,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0
"243806",0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0.01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0
"63123",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0.08,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
