"","X100105.518417","X7912.518472","X7848.518594","X7855.518447","X100161.518473","X100195.518533","X7870.518457","X100003.518448","X7847.518410","X7861.518583","X100077.518436","X7844.518483","X7879.518469","X7862.518458","X100107.518577","X100173.518499","X100178.518498","X100074.518549","X7906.518589","X100207.518411","X7910.518536","X100171.518431","X100154.518504","X100102.518495","X100015.518484","X100165.518637","X100092.518547","X100191.518602","X100222.518527","X100226.518568","X7908.518449","X100083.518623","X100158.518625","X100212.518635","X100046.518563","X7860.518628","X100190.518464","X7904.518600","X100101.518475","X100217.518532","X100225.518544","X100144.518438","X7899.518560","X100088.518508","X100200.518491","X100203.518476","X100151.518550","X100084.518559","X100001.518462","X7911.518610","X100091.518616","X100058.518558","X100072.518459","X100168.518433","X100156.518612","X100065.518569","X100085.518596","X100150.518562","X100197.518442","X100087.518466","X7909.518566","X100060.518463","X100163.518435","X7858.518581","X7662.518467","X100234.518587","X100205.518470","X100164.518477","X100209.518521","X100052.518548","X100198.518598","X100176.518428","X100184.518455","X100079.518554","X100075.518638","X100192.518621","X100174.518479","X100100.518579","X100187.518520","X100115.518501"
"469972",0.05,0.02,0,0,0.01,0,0.09,0,0.02,0,2,0.03,0,0,0.04,1,0,3,0,0,0.01,0,0.02,1.55,1,1,4,0.02,0,3.49,0.01,0.02,1,0.01,2,1,0.18,0,0.26,0.3,0,2,0.05,1,0.49,0.01,1,2,1,0.02,0,3,0.02,2.14,0,0.01,0,0.13,1,0.07,0,2,1.34,0,0,0.01,1,0.02,0,1,0.21,0,2,7,1,0.15,0,0.04,0,0
"369164",20.7,56,37,28,28,8,0.04,29,800.17,1,0.21,1,10,41,13,69,49,142.16,163,7,89,6.37,166.98,0.06,0,29,105.44,1.94,94,0.05,14,15,83,205,18,61,3,1.85,1,1,6,100,4,0.03,0.19,0,0.61,2,0,85,197,0.7,0.01,49,104.99,0.21,62,0.04,0.4,1.06,9.4,0.43,0.02,21,2,18.71,0.06,0.01,824,0.04,0,0.03,0.01,0.01,656.57,0,1.52,1.44,0,73.05
"179655",0.05,5,0,15,0.03,2,0.03,0.03,9,58,0.03,2,3,1.23,0.08,0.07,0.02,0.02,7,0.14,0.14,0,2,0,0,0.16,0.06,0.01,0.01,0,1,0.61,3,0.26,0.02,0,0.02,0.07,3,1,0,0.01,2.43,1,0.05,0,0,0,0,0,0,0,0,0.02,0.14,7,1,0,0,7.55,0,0,0.01,0.01,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"571220",31,0.01,0.02,0.01,0.05,0.15,0,0.02,0.06,3,5,18,1,4,2,0,0.01,0.2,0,38,0,2,0,0.08,0,0,0,0,0.31,0,0.02,0.01,0.01,0.01,0,0,0,13,0,0.11,0,0,0,0,0,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.03,0,0.01,21,0,0.04,0.11,0,11,0.3,0,0,0,0,0.28,0,0,1,1
"176495",2,0.12,0.01,1,1,2,3.13,2.03,3,1,8,1.96,1,1,0.6,1.17,5.11,5,4,1,0.14,0.79,12.61,24,7,3.3,12,3,2,2,0.08,1,2,1,0.06,2,0.03,2,8,2,0,0.68,9.69,1,0.22,0.02,3.56,2,1,2.65,0.03,0,2,4.89,0.01,3,0.03,0.89,2,8,0.73,0.62,0.02,0.18,0.14,0.09,0.02,0,0,0.05,0,0.49,0,0.01,0,0,0,0,0,0
"180285",137,236,187,150,520,49,18,698,219,26,398,335,86,514,660.54,207,519,299,837.36,145,288,76,547,709.84,18,323,450,376,312,339.19,510,362,568,432,25.19,276.29,593.38,260,428,8,10.64,36.86,209,338,594,2,631.63,440,50,29,696.24,116.59,574,586,43,210,610,769,700,980,208.28,404.65,5.1,633,79.91,339,2,206.58,0,56,7.97,629.93,348.54,0.18,0.01,867.96,777,0,1,0
"192252",0.61,5,17.19,85.62,3,1,0.39,2,0.59,10,130.04,1,1,10,7,0.43,1,5,1.49,3.68,9,0.09,0.04,0.33,0.01,4.3,0.12,1,1,0.05,5,0.01,4,8.02,19.73,2,1,3,0.14,3,0.55,6,0.1,0.14,0.01,0.06,1,0.01,0.86,2,23.92,0.46,0.01,0,0.26,0.11,10.46,2,0.03,0,1,0.05,0.74,0.11,16,0.01,0.03,0.04,0,0,0,0,0.01,0,0.56,0.06,0.01,0,0,0
"193066",2,6,1,0.02,0.07,0.02,0.02,1,0.03,0.05,0,0,0,0.01,0,0.07,0.02,0,0.51,1,4,0.01,0,0.04,0,0.25,0.03,0.02,0.01,0.01,0.02,0.1,1,0.04,0.01,1,0.09,0.08,2,0,0.01,0.02,1,0,2,1,1,0.04,0.05,0,0,0,0.02,0.37,0,0.53,0.04,0,1,0.02,0,0,0.02,0.08,0.02,0,1.31,0,0,11.07,0,0,4,0,0,0,0,0,0,0
"174093",4,5,4,9,18.1,6,12.71,9.18,15,15,4,1,1.35,12,0.26,4,1,47.81,7.04,6,22,11,0.1,4,1,15.65,3,4,3.18,2,8,2,0.23,0.06,11,17,10,2,7,42.69,9,3,6.63,0.06,0.46,21.3,4,1,39.21,8,5,97.12,14,6.18,10,4.67,1,4,8.46,5,20.55,35.64,13,1.32,3.4,19,5,0.14,0,19.3,0,8.13,1,1,20.47,1,0.02,0.8,0,0
"175907",7,0.13,0.04,1,0.15,1.36,3,1,4,0.02,1,1,0.01,2.79,0.15,1,1,204.84,0.03,1,0.05,0,0.17,21,1,8,2,0.07,0.19,1.03,4.93,5,5,1,13,2,3.28,0.87,201.33,26.88,66,6,7.94,1,0.1,0.75,25,1,22,71,23,52,12,19,0.22,11,0,0.76,3,2,1,3,11,0.03,0.05,1,191.19,16.23,84.63,0.05,1.12,266.3,0.03,3,7.64,0.16,0,23,0.06,8.65
