"","X100105.518417","X7912.518472","X7848.518594","X7855.518447","X100161.518473","X100195.518533","X7870.518457","X100003.518448","X7847.518410","X7861.518583","X100077.518436","X7844.518483","X7879.518469","X7862.518458","X100107.518577","X100173.518499","X100178.518498","X100074.518549","X7906.518589","X100207.518411","X7910.518536","X100171.518431","X100154.518504","X100102.518495","X100015.518484","X100165.518637","X100092.518547","X100191.518602","X100222.518527","X100226.518568","X7908.518449","X100083.518623","X100158.518625","X100212.518635","X100046.518563","X7860.518628","X100190.518464","X7904.518600","X100101.518475","X100217.518532","X100225.518544","X100144.518438","X7899.518560","X100088.518508","X100200.518491","X100203.518476","X100151.518550","X100084.518559","X100001.518462","X7911.518610","X100091.518616","X100058.518558","X100072.518459","X100168.518433","X100156.518612","X100065.518569","X100085.518596","X100150.518562","X100197.518442","X100087.518466","X7909.518566","X100060.518463","X100163.518435","X7858.518581","X7662.518467","X100234.518587","X100205.518470","X100164.518477","X100209.518521","X100052.518548","X100198.518598","X100176.518428","X100184.518455","X100079.518554","X100075.518638","X100192.518621","X100174.518479","X100100.518579","X100187.518520","X100115.518501"
"549499",0.01,0.03,1,1,5,0.03,0,0,6,0.02,0,23,2,0.75,3.03,0.09,2.94,125,1,7.17,4,0,11,0,0,0.02,0.07,0,0.02,0.92,0.04,0.01,0.71,6.53,0,0,0,0.01,0.01,0.01,0,0,0.75,0,0.03,0.04,0.02,0,0,0.16,3,0.01,2,0,0,0,0.02,0.13,0,0.01,0.01,0,0,0,0.24,0,0,0,0,0,2.25,0,0,0,0,0,0,0,0,0
"321740",0.11,0,2.98,0.03,0.28,0.01,0,0,3,0.01,0.04,8,1,1,0.07,0.05,4,0.03,0.01,37,0.05,0.01,8,0,5,0.01,0,0.01,12,1,0.15,0,0.21,4.63,6.12,0.09,0,0,0.01,0.02,0.76,0,0.97,1.06,0.01,1.45,0.94,3,0.07,0,0.01,0,0.01,0,0.01,0,0.02,0.06,0,0.02,0.01,1,0.01,0,2,0,0.01,3.15,0,2,5.08,0,0,0,0,1.46,3.4,0,0,0
"90431",1,0.02,0.18,0,0,1,4,1,0,0.01,5,2,0.03,0.01,0.04,0,0,0.18,0,0,0.01,1,0,1,41,0,0.07,0,0.04,2,0.01,0.04,0,0.08,12.94,1,0,0.01,0,0,0.2,8,0,0.34,0,0.04,1,0.02,18,0.05,0.01,0.04,0.01,3.34,0.2,0.01,0,0.04,0.01,16,4.87,3,2,0,0,0.05,2.88,11,47,4,5.86,22,1.63,0.22,0,4,7.16,0.02,1.22,0.61
"21698",0,0.78,0.16,1,10,0.06,0,1,48,0.18,0.16,0.46,1,28,2,10,12,0.02,1,1.52,2,0,4,68,0,0.59,1,4.42,0.19,0.02,0.55,54,2.05,18,0,0.01,0,5,2,0.01,0,0.03,1,0.27,0.08,0,0.03,1.78,0,0.01,2.24,0.01,0.35,0.05,0,1,0.01,0.08,0,0.24,0,0.02,0.04,0,0.38,0,0,0,0,0,2.25,0,0.02,0,0,0,0,0,0,0
"322235",109.97,22,64,2,19.33,6.14,0.09,38,22.5,0.36,1,0,0.79,9,120,170,5.03,127,60,2.25,2,4,0.01,0.03,55,27,2,2,136,7.71,0.18,78,0.36,0.02,1.48,222,0,75,0.25,4.79,0,179,4.54,6,326.6,27.35,0.01,19.39,6.67,1,1,9,239.54,423,0.08,0.03,81,11.58,36.5,3.25,32,317,0.08,26,0.11,0.09,51.76,103,0,0,10.76,171.47,45,0,0,14.97,0,0,1,0
"318760",11,17,39.85,6,8,40,24.02,11,32.44,12,66.22,10,5,1,5,35.11,7,10,2,1,77.89,21,4,0,6,2,10,7,4,4,10.14,5,3,9,13.69,2,8,23,69.51,0,2.36,15.06,5.34,12,20,6.81,14,4,3,11,16,30,17,0.12,3,5,13,2,61.39,11.55,38.98,129.02,1,11,2,0.09,11,26,0,1,3.87,0,21,0,0,0,1,0,0.01,0
"307536",1,5,3.38,7,9.31,0.13,1,4,1,0.07,0,0.02,5,10,0.18,1,4,1,2,4,1,3,3.06,0.01,0.02,1,2.43,1.96,1,0.95,0.09,0.04,0.35,0.11,0.09,3,0.01,0.02,1,3.34,0.01,0.67,1,2,4.98,2,0.87,4,1,3.01,5,0.12,6.76,2,0.02,0,0.29,1.96,0.41,0.02,6,0,0,9.16,0.01,0.01,1,0,0,1.36,2.25,0,0.08,0,0,0,0,0,0,0
"320055",0,0.04,0.01,0.02,0,2.81,1,2,0.01,2,1,1,0.03,1,1,0.08,0.01,0,0.01,0,0.01,1,0,0.72,0.02,8,4,0.01,0,0.01,3,0.01,0,0.05,2,0,1,0,1,0.05,1,1,0,1,2,0,1,0.41,0,0.09,1,2.52,4.81,0.32,6,0.01,0.04,0.01,0.26,0.03,0,0,1,0.01,0,3.19,4.83,0,2,0.03,4.16,3,2.32,0.02,0,0,0,0,0,0
"361480",2,0.03,9,0.04,0.03,0.85,0.2,0.01,16,0.08,9,0,0.01,0.07,0.01,1.56,0,0.88,30.15,0.15,2,0,0.14,23.2,24.24,0.19,2,0,9,0.38,0.17,23,1.26,3.22,0,4,2,17.99,0.01,0.01,3.01,0.25,29,7,40.94,1.21,0,0,0.06,0.04,0.04,0,0.72,25,1.49,0,4.29,62,0.12,32,0.08,18,47,2,0.07,0.1,0.22,0,0.11,0.19,7.4,0.01,0.17,109,194.42,1.01,0,0.65,0,0.09
"193348",0,0.15,0.49,0.02,0.03,2,0.01,2,1,0.16,0.01,2,0.03,2,0.11,0.07,0.06,0,3,0,1,0,0.01,0,0,2,0.11,1,0.3,0.59,1,5,0.01,1.91,0,2,0.01,0,0.19,1,0.01,0.25,0.02,0,0.05,0.46,0,0.1,0,0,2,0,0.01,0.05,0,0.2,0.05,0.66,4,1,0,0.01,0.01,0,0,2,0,0,0,0.01,2.25,0,0,0,0,0,0,0,0,0
