"","082B","005B","009B","053B","103B","052B","037B","056B","020B","100B","104B","087B","001B","110B","108B","107B","109B","112B","035B","067B","128B","045B","070B","019B","014B","025B","169B","040B","105B","028B","144B","172B","003B","038B","049B","170B","026B","017B","004B","072B","088B","093B","126B","101B","187B","509A","061B","078B","041B","178B","012B","140B","179B","150B","147B","027B","176B","013B","507A","016B","089B","099B","186B","068B","069B","030B","503A","064B","148B","505A","174B","142B"
"Otu455",0,0,0,0,0,0,0,0,0,0,2,0,47,11,0,0,0,1,0,0,0,0,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu47",3,0,4,17,0,3,20,0,23,9,15,29,191,4,4,0,1,8,6,54,1,24,82,3,24,12,38,25,0,22,2,58,114,0,41,0,47,70,42,31,0,0,0,14,95,0,4,0,27,20,10,10,11,8,55,25,0,63,0,7,1,0,11,0,102,43,10,0,110,0,28,0
"Otu660",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
"Otu122",0,224,59,0,0,16,156,0,0,0,0,0,0,0,18,192,1,0,0,31,0,0,0,9,0,0,7,10,0,0,201,0,0,0,28,0,0,0,0,0,0,0,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0
"Otu290",6,0,0,1,4,0,0,0,0,1,1,0,1,2,0,1,0,2,0,0,0,0,9,0,0,0,0,0,2,0,6,0,0,6,2,0,0,0,0,0,10,16,0,0,0,3,0,0,0,8,0,0,0,0,15,4,0,0,0,0,2,0,0,6,0,0,0,0,2,0,7,0
"Otu740",0,1,0,0,3,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu281",0,41,0,21,0,4,4,0,0,0,0,22,0,0,0,0,14,0,0,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu678",0,0,0,2,11,0,0,1,7,4,0,0,0,0,0,4,0,10,0,0,1,4,5,9,0,0,0,0,0,1,10,5,2,0,0,0,0,0,0,0,0,1,5,0,0,0,0,16,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0
"Otu412",3,4,0,0,0,0,0,0,0,0,2,0,0,0,10,0,0,0,1,0,0,5,0,0,5,3,2,4,0,2,0,3,17,23,0,0,56,5,0,0,16,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Otu70",46,216,268,39,0,0,146,80,0,0,0,0,0,0,68,34,0,0,0,251,0,0,0,0,0,0,0,652,0,0,0,0,0,0,35,90,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0
"Otu6",0,0,0,0,16,0,0,13,382,1288,0,0,0,0,0,1,0,1219,0,0,0,293,0,0,2,372,0,0,0,44,0,0,206,0,0,0,0,0,102,0,0,0,0,0,463,0,0,0,0,116,0,0,119,0,674,367,0,0,0,0,0,0,170,0,0,560,1258,0,0,0,0,0
