"","X082B","X005B","X009B","X053B","X103B","X052B","X037B","X056B","X020B","X100B","X104B","X087B","X001B","X110B","X108B","X107B","X109B","X112B","X035B","X067B","X128B","X045B","X070B","X019B","X014B","X025B","X169B","X040B","X105B","X028B","X144B","X172B","X003B","X038B","X049B","X170B","X026B","X017B","X004B","X072B","X088B","X093B","X126B","X101B","X187B","X509A","X061B","X078B","X041B","X178B","X012B","X140B","X179B","X150B","X147B","X027B","X176B","X013B","X507A","X016B","X089B","X099B","X186B","X068B","X069B","X030B","X503A","X064B","X148B","X505A","X174B","X142B"
"Otu455",0,0,0.01,0,0.95,0,0,0.01,3.38,0.01,2,0.02,47,11,0,0,0.01,1,0.03,0,0,0.38,1,0.86,0.03,21,0,0,0.01,0.21,0,0.14,0.08,0,0,0,0.07,2,0.01,0,0.02,3,0,0,0,0,0.19,0.18,0.01,0,1,0,0,0.16,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0
"Otu47",3,81.39,4,17,131.49,3,20,82.39,23,9,15,29,191,4,4,79.38,1,8,6,54,1,24,82,3,24,12,38,25,201.91,22,2,58,114,153.13,41,192.63,47,70,42,31,10.18,33.95,17.4,14,95,57.86,4,18.62,27,20,10,10,11,8,55,25,2.68,63,30.85,7,1,142.4,11,38.63,102,43,10,186.86,110,0,28,19
"Otu660",0.01,0,0,0,0,0,0,0,0.02,1,0,0,0.01,0.01,0,0,0,1,0.1,0,1,0,0.01,0.01,0,0,0,0,2,0.02,0,0,0.02,1,1,0.04,0,0.01,0,0.02,0,0.01,0.09,0,0,0,0,0.04,1,0.02,0,0.02,0,0,0,0.01,0,0,0,0,0,0.26,0,0,10,0,0,0.02,0.01,0,0,0.02
"Otu122",1.4,224,59,25.22,0,16,156,3.15,0,0,0,5.73,0,0.03,18,192,1,0,0.13,31,130.47,0,0,9,0,0.02,7,10,3.07,0,201,0.03,0,0.17,28,25.09,0,0,0,0,0,0.03,387,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.41,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0.01
"Otu290",6,0.03,0.37,1,4,0.54,0,0.51,0.71,1,1,0.08,1,2,0.01,1,3.15,2,0.51,3.8,1.5,7.41,9,6.61,0,0.09,0,27.67,2,4.78,6,0.7,0.11,6,2,0.17,16.89,14.67,0.01,0.29,10,16,0,0.64,0.02,3,1.32,0.12,41.18,8,0.11,9.94,0.06,0.5,15,4,41.2,0,0,0,2,0.02,0,6,0.16,2.04,0.07,0.95,2,0.01,7,0.06
"Otu740",0.01,1,0.01,0,3,0.13,0.03,0.05,0,5,2,0.01,0,0.82,0,0,0.01,0,0,0,0,0.05,0.34,5,0,0,0.01,0.03,0.19,0.28,0.01,0.08,0,0.17,3,0,0.3,2,0,2,4,0,0.02,0,0,0.04,0.02,0.07,0.01,0.01,0,0,0,0.03,0,0,0.01,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0
"Otu281",0.22,41,1.81,21,0,4,4,0,0,0,0,22,0,0,0.01,3.7,14,0,0,17,3,0,0.02,0,0,0,4.72,0.54,0.03,0.01,0.02,0.01,0,0,0.02,18.4,0.24,0,0,0.03,0,0,27.04,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0
"Otu678",0.07,0.01,0.58,2,11,5.23,0.1,1,7,4,0.29,0.26,0.09,0.01,0.56,4,0.08,10,0.31,1.14,1,4,5,9,0.01,1.48,0,1.83,0.02,1,10,5,2,0,0,0.19,5.71,0.24,0.02,0.81,1.27,1,5,0,0,0,0.02,16,0.33,0.02,3,0.03,0,0.06,0,0,0,0,0,0,1,0.28,0,0.02,11,0,0,0.02,0.01,0,0,0
"Otu412",3,4,0.05,0.01,0.15,0.01,0.34,0.63,2.17,0.05,2,0.35,8.38,20.81,10,0.02,11.1,1.46,1,0.05,0,5,1.23,0.13,5,3,2,4,0.56,2,0,3,17,23,0.11,0.07,56,5,0.04,0.06,16,0.13,0.03,0,0.01,1,0.12,0.06,1,6.81,0.51,15.09,0,0.18,0,0.06,0.07,0,0,0.02,1,0,0,0,0,0.01,0,0,0,0,0,0.06
"Otu70",46,216,268,39,0,196.07,146,80,0,0.02,0.13,1.75,0,0.02,68,34,1.88,0,0.23,251,64.83,0,0,12.54,0,0.02,282.05,652,1.3,0.02,273.79,0.04,0,0.19,35,90,6.95,0,0,0.09,0.6,0.15,112,0,0,0,0,0,0.09,0.03,0.01,0.36,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0
"Otu6",0.07,0,0.1,0.04,16,0.07,0,13,382,1288,0.03,0.07,1014.41,0.01,0,1,0.06,1219,3.4,0.01,0.04,293,61.22,0.02,2,372,0.12,1.82,0,44,7.18,0.14,206,0,0.08,0,0.55,0,102,1.1,0,3.57,0,34.24,463,2.83,0,0.14,6.01,116,0,0.01,119,0.21,674,367,0.08,1245.46,5.28,0,0.12,0,170,0.06,0.03,560,1258,104.74,0.03,0,80.72,0.22
"Otu236",0,0,0.02,0,1,0,0,0,3,0.04,0.1,0,3,0.05,0,0,0.01,5.33,0.08,0,0,70.55,6,0,25.27,0.55,0,1,0.07,0.81,0,0.06,3,2.43,0,0.05,10,0.04,10,0.06,1,0.04,0,11,3,4,0.01,0,7,2.32,0.13,0,1.98,2,3,38.89,4,14.29,1.01,0.04,0.02,2,0.59,1,6,3,37,2,10.71,4,477.06,15
"Otu239",0.02,1,0.38,0.62,0,2,16,0,0,0,0,0.04,0,0,2.96,0.74,31,0,0,1,0.27,0.02,0,0.22,0,0.01,4,0.01,1.58,0,0.62,0,0,0.27,84,426,0.01,0,0,0.04,0,0.01,20,0.01,1,0.04,0.01,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.77,0,0.03,0.05,0.01,0,0,0,0,0,0.01,0
