"","X100105.518417","X7912.518472","X7848.518594","X7855.518447","X100161.518473","X100195.518533","X7870.518457","X100003.518448","X7847.518410","X7861.518583","X100077.518436","X7844.518483","X7879.518469","X7862.518458","X100107.518577","X100173.518499","X100178.518498","X100074.518549","X7906.518589","X100207.518411","X7910.518536","X100171.518431","X100154.518504","X100102.518495","X100015.518484","X100165.518637","X100092.518547","X100191.518602","X100222.518527","X100226.518568","X7908.518449","X100083.518623","X100158.518625","X100212.518635","X100046.518563","X7860.518628","X100190.518464","X7904.518600","X100101.518475","X100217.518532","X100225.518544","X100144.518438","X7899.518560","X100088.518508","X100200.518491","X100203.518476","X100151.518550","X100084.518559","X100001.518462","X7911.518610","X100091.518616","X100058.518558","X100072.518459","X100168.518433","X100156.518612","X100065.518569","X100085.518596","X100150.518562","X100197.518442","X100087.518466","X7909.518566","X100060.518463","X100163.518435","X7858.518581","X7662.518467","X100234.518587","X100205.518470","X100164.518477","X100209.518521","X100052.518548","X100198.518598","X100176.518428","X100184.518455","X100079.518554","X100075.518638","X100192.518621","X100174.518479","X100100.518579","X100187.518520","X100115.518501"
"186357",0,3,0,0.02,0,0.01,6,0.18,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0.01,0,1,0,0,0,0,0.02,0,0.03,0,0,3,0.02,0,1,0.01,0,1.51,0,0,0.01,0,0.01,0.16,2,0.02,0.01,0,0.2,1,0,0,1,1,0.44,4,0,0,0,0,0,1,0.03,0,1.06,0.01,0,1,1,0,0,0,0,0,0.02,0
"50448",0,0.01,0.01,0.01,0,0,0.07,0.01,1,1,0.01,0,1,0.02,0.03,0.05,0.01,0,0.03,5,0,0,0,140.44,1,0.03,0,0,0.01,0,0.01,1,0,0,8,0,0.01,0,0.02,0.02,0,0,0,0,0,0.12,0,0,1,1.23,0,0.01,0.01,18.09,0,0.01,0.01,0,0,0.01,0,7.22,0.06,0,0.01,0.02,0,0,23,0,1.39,2,0.04,27.07,0,1,0.64,0,1,1.45
"273617",0,0.17,0.14,1,1,0.18,1,0.01,0.15,1,0,0,0.04,0,0.01,0.02,0,0.5,0.12,0.13,0.17,2,0.01,3,0.13,4.45,0,0,0,2,0.01,0,1,0.02,9,2,4,0.01,0,0,3,0.15,1,0,0,1,10,0,0.02,8,0,4,0,0.11,1,0,0.11,0.01,0,0.01,0,0,12,0.13,0.09,1,0.01,0,0,3,0,0,0.05,3,1.29,0,0,0.55,0,0.14
"258099",3,1,0.83,1,0.44,3,0.01,0.07,1,0.41,2,1,0.35,1.02,0.03,0.01,0,1,0.04,0.02,0.16,1,0.16,0,0.01,1,1,1,0,0.19,0.05,1,1,0.01,0.01,0.05,0.06,0.03,0.05,3,0,0,1,0.27,0.36,0,0.47,2,0.86,1,0.27,1,0.02,0.04,0.01,0.01,0.18,1,0.02,0.05,0.01,0.23,0,0.01,0,0.01,3.43,0,0,0.01,0.01,0,0,0,0,0,0.04,0,0,0
"174194",0.98,0.01,199,33,0.57,0.08,0,0,0.05,0.18,0,0.12,19.9,0.37,4.8,1.24,0,18,1.25,343,1,0.11,0.08,0,0,0,0,0.27,61,0.04,0,0,508,203,7,759,0,21,0,0,0,0.59,0.88,0,0,63,1.97,0.01,0.01,0.04,1,0.03,0.23,0.1,0,0,0.36,557,67,1.72,0,0,17,1,0,7.81,188,197,0,388,0,0,114,0,0,0,0,0,0,0
"208543",0,2,0.03,0.02,22,0.02,51,0.01,0,13,0,0,0,0.03,0.02,0,0,0,0.05,0.3,0.01,0.01,0.01,0.01,0,0.03,0.05,4,0,6,2,0,14,0,0.01,5,0,0,0.02,0,0,0,0,0.18,0,0,0.02,0,0,0.07,0,0,0,0,0,0,0.1,0.02,0,0.01,0,0.03,0,3,1,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0
"178148",0,0.03,0,0.01,0.16,0,0,0.04,0.01,0.01,0.01,0,0.16,0.02,2,0.03,0.04,0.01,4,2,0.02,0.16,0,0.61,5,1,0,2,11,0.01,0,2,0.03,0.06,0.09,13,0,2,0.01,0,0.24,5,0,2.4,0.01,0.02,0.01,0,0,0.02,0,0.01,2.83,11,0,0.23,0,0.06,0.02,0.57,0.01,6.89,0,0,0,0.03,0,6,0,0.42,22,0.03,0,0.03,0,3,6.92,0,0,0.04
"198434",0.03,1,1,5,1,6,0.02,0.08,0.25,3,0,0.36,2.43,0.04,0.04,1,0.03,0.02,2,2.3,1,0.06,0.16,0,0.01,0.01,1,2,0.03,0.06,2,0.02,3,1.14,0.17,0.07,6,0.01,0.1,0.12,0.02,0,0.63,1,0.05,0.1,0.08,0.01,0.06,3,0,0,0.09,0,0.01,0,0.06,1,0.29,1,0,0.02,0.01,0.2,0.08,0.04,0.03,0,1.87,0,14.09,2,0,0,0,0,1,0,0.42,0
"213747",1,1,5.95,12,0.2,0.32,2,7.57,13.96,3,0.02,0,11,3,6,1.11,0.55,0.02,6,7,3.38,0,6.81,1,0.01,3,0.08,2,3,0,9.7,7,4,62,0.06,0.37,0.01,0.95,0.63,0.03,0.27,0.01,0,0.36,0.03,3,2,0.09,0.01,0.11,0.01,0.33,0.07,0.05,0,0.75,0.04,0.09,0,7.64,0.06,0.02,0.03,0.1,0.11,0,0,0.01,0,0,0.01,0,0,0,0,0,0.11,0,0,0
"320768",170,14.58,50,52,42,9,1,162.46,35,6,5,229.1,104,1,9.63,44,0.02,8,285.15,88,6,209.77,1.66,16.14,83,0.28,18,16.98,7,70,17.37,63.09,6.54,17,2.36,0.14,0.23,26,5,2,0.27,0,293,0,0.01,2.36,4.96,3.03,1,11,0.09,7,0.02,0.52,2,8.91,1.53,4,0.03,0.02,3,22,0.01,3,5,0.03,14.45,11,0,3.38,0.01,0,0.01,0,0,0,0,0,0,0
