"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15"
"result.1" 10.0384 39.4302 186.4816 20.7262 85.3302 354.245 30.2262 126.8356 523.6932 41.0516000000001 163.3392 667.1442 50.0458000000002 201.8894 840.399
"result.2" 11.573 48.0576 186.4968 21.3408 89.671 362.2926 30.9338000000001 127.3848 529.4782 39.9016 163.8914 688.7276 50.2762000000002 202.3146 844.8774
"result.3" 11.389 46.6158 185.4086 20.7238 84.5496 349.064 31.071 125.5614 508.8932 39.9026 163.4814 675.1774 49.9714 207.0348 839.866
"result.4" 11.338 46.6322 185.5322 21.0452 82.672 347.4844 30.2502 123.5028 503.8496 40.307 164.0784 681.8646 50.3807999999997 197.8448 823.2456
"result.5" 9.7304 40.0026 166.6062 18.1294 74.7252 318.6036 27.264 109.26 455.6392 35.8387999999999 146.7384 603.7772 44.0459999999999 182.1616 743.7446
"result.6" 9.6696 38.7924 182.9876 20.6024 85.5276 352.2222 31.1371999999999 129.0722 523.843 40.8828000000001 163.602 686.7174 50.6707999999999 205.2498 842.5446
"result.7" 9.6408 38.9374 164.9388 19.0108 76.3902 309.0638 27.2468 110.7644 463.5836 35.0014000000001 146.1954 596.4518 43.3238000000001 176.1282 721.7818
"result.8" 11.867 45.2422 185.5526 20.995 85.6244 351.3246 30.1416 123.852 516.4708 40.7098 161.8954 676.5698 49.7425999999999 204.73 830.0682
"result.9" 11.476 46.118 188.8596 21.0592 85.8296 350.298 30.751 121.761 515.6178 40.6566000000001 164.4098 688.2856 51.4944 198.397 831.5626
"result.10" 10.0302 39.2784 163.4334 18.64 75.7762 305.9144 27.2474 110.6988 458.8064 35.1505999999999 144.64 594.9272 43.8100000000002 175.3726 728.9082
