"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15"
"result.1" 14.0692 26.692 52.425 58.3134 111.5498 202.507 112.6888 221.3862 427.4858 206.2928 401.014 782.064 375.5888 641.8898 1255.5726
"result.2" 13.2752 25.7242 49.1288 53.3242 103.7346 208.2358 127.9594 244.6004 481.4908 230.226 442.1896 873.7422 365.9766 777.1632 1257.0892
"result.3" 13.5464 25.875 50.496 54.0546 102.7652 209.4634 127.1468 244.438 485.0474 225.5046 444.9614 799.2208 325.5702 615.176 1266.2882
"result.4" 13.8766 26.651 51.501 55.3742 107.3766 214.1226 124.68 244.9654 483.1854 236.3018 447.239 872.5104 360.6678 626.4618 1220.2346
"result.5" 13.4874 26.0486 49.734 54.5556 105.6382 213.4016 126.6378 246.6118 489.4136 230.7084 445.4788 883.805 362.1404 641.307 1230.6336
"result.6" 13.7514 26.1364 51.775 54.5392 106.3168 193.3052 112.1768 221.9904 428.7388 204.014 396.3306 775.1938 317.6378 625.1892 1282.5476
"result.7" 13.5784 26.4264 51.3496 54.8178 106.1146 212.4134 129.708 248.4676 489.0942 231.1858 447.3882 896.4036 370.0536 785.3176 1251.8346
"result.8" 13.9538 26.2688 51.6958 54.0846 106.6136 213.3132 131.4562 247.6446 491.9552 232.6 452.7 881.306 371.8626 684.0554 1437.7574
"result.9" 13.7478 25.4348 50.3044 54.9772 104.6102 192.9986 111.296 217.6006 427.0076 201.2134 387.4956 756.9014 311.5284 608.8494 1235.2226
"result.10" 14.2858 27.335 52.0516 55.6824 106.489 192.8742 115.7284 218.0368 435.0698 200.1076 393.7002 766.9712 325.4542 618.3414 1328.97
