"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15"
"result.1" 14.7872 30.1742 56.0042 58.138 121.2388 230.2666 122.5678 238.083 493.9034 226.3766 475.5478 848.1742 332.3752 651.3816 1274.3132
"result.2" 13.6906 26.1742 51.2438 54.1358 104.0274 206.3958 122.3598 237.9924 477.6854 223.2414 466.053 843.8022 336.4588 666.9788 1259.528
"result.3" 13.674 26.6718 51.4378 54.745 107.1814 210.1976 123.5238 239.4814 481.5866 228.21 404.9428 965.2552 432.9308 813.9668 1496.2318
"result.4" 13.9608 28.0006 53.1368 55.4162 108.8452 211.0634 126.9748 248.402 483.0652 205.417 405.1596 873.0478 334.873 673.746 1273.992
"result.5" 13.4546 25.273 51.135 55.1622 107.1502 209.5608 124.0332 244.0956 487.7572 228.2746 405.6508 831.6074 334.4228 658.126 1298.9526
"result.6" 13.9062 27.6592 53.7692 55.485 106.6328 212.6932 121.3856 248.6874 480.1038 226.46 465.5038 861.0366 337.9022 676.6938 1420.2562
"result.7" 13.7718 26.1872 53.3654 57.4482 114.0314 220.649 130.417 261.644 501.8534 220.826 418.7928 875.3116 337.493 671.9642 1306.5164
"result.8" 13.8612 26.4714 51.944 54.723 109.2424 215.3196 131.5176 245.0934 483.4404 205.1242 402.1554 851.0882 341.056 675.8 1300.4328
"result.9" 13.6158 26.2594 51.24 55.0508 105.2666 212.5312 121.7998 239.4058 478.0338 222.2778 453.7258 844.7886 328.5012 664.868 1288.919
"result.10" 15.1152 28.9054 57.864 53.5952 109.6586 215.9936 124.981 258.8352 484.2296 211.7156 419.6944 878.0256 340.9982 683.287 1265.5304
