"","X100105.518417","X7912.518472","X7848.518594","X7855.518447","X100161.518473","X100195.518533","X7870.518457","X100003.518448","X7847.518410","X7861.518583","X100077.518436","X7844.518483","X7879.518469","X7862.518458","X100107.518577","X100173.518499","X100178.518498","X100074.518549","X7906.518589","X100207.518411","X7910.518536","X100171.518431","X100154.518504","X100102.518495","X100015.518484","X100165.518637","X100092.518547","X100191.518602","X100222.518527","X100226.518568","X7908.518449","X100083.518623","X100158.518625","X100212.518635","X100046.518563","X7860.518628","X100190.518464","X7904.518600","X100101.518475","X100217.518532","X100225.518544","X100144.518438","X7899.518560","X100088.518508","X100200.518491","X100203.518476","X100151.518550","X100084.518559","X100001.518462","X7911.518610","X100091.518616","X100058.518558","X100072.518459","X100168.518433","X100156.518612","X100065.518569","X100085.518596","X100150.518562","X100197.518442","X100087.518466","X7909.518566","X100060.518463","X100163.518435","X7858.518581","X7662.518467","X100234.518587","X100205.518470","X100164.518477","X100209.518521","X100052.518548","X100198.518598","X100176.518428","X100184.518455","X100079.518554","X100075.518638","X100192.518621","X100174.518479","X100100.518579","X100187.518520","X100115.518501"
"288588",1,0.03,0,0,5,0.01,0.83,6,0.02,0.02,6,1,0,0.01,7,0.05,0,2,0.06,5,0.08,0,0.01,1,4,0,0.02,0,0.01,0.11,0.01,0.12,0.01,0,0.01,5.95,0,1,0.31,3,0,0,0.02,0.35,0,0.01,0,0,0.22,0.09,0.02,1.96,0.01,0.01,0,0.3,0,0,0.01,0,0,8,0.01,0,0,0,0.08,0,0,0.01,0.4,0,0,0.02,0.01,0,0,0,0,0
"366752",0.05,1,1,0.12,0.02,3,0.01,0,0,3,0.01,0.01,0.06,0.06,0.01,0.12,0,0.22,0.05,0,6,1,0,0,0.02,0.03,0.01,0.01,0,1,0.03,2,0.03,1,0.25,1,1,0.04,0.21,3,2.31,1.67,2,1,0.02,0,0.01,0.01,0.01,0.01,5.54,0.17,1,0.7,1,0.01,0.08,0,1,0.01,0.01,0.24,0.01,0.01,0.22,2,0,1,0,0.03,0.01,0.01,2,0,0.02,1,0.08,0,0.03,0
"179655",0.02,0,0.02,0,0.08,2,0,0.2,9,58,0.04,2,3,12,0.02,0,0.04,0.01,0,1,0.04,0.04,2,0.01,0,0,1.16,0.04,0.12,0,1,0.01,3,0.24,0.02,0,0,0,3,1,0.16,0,0,0,0.2,5,0.21,0.05,0.03,0,0.06,0.02,0.01,0,0.23,7,1,2.61,0.03,12,0,0,0,0,0,0.02,0.01,0,0,0.01,0,0.17,0,0,0,0,0,0,0,0
"188313",2,0,0,0.02,2,0.01,14,0,0,0,1,0.01,0,0,0.01,0.01,0,0.05,0,0,0,0,0,24,0.21,0.05,0,0,0,0.03,0.01,0,0.02,0,0.01,0.86,0.01,0.03,0.03,0.58,0.08,0.03,1,0.07,0,0,0.02,0,0.71,1,0.01,1,0.06,0.07,0,0.01,0,0,0.01,0,0,17,0.35,0,0.01,0.01,0,0,1,0,3.75,0.31,0.48,3,0.29,0,0,0,0,0
"181016",12,0,0.01,1,7,0.02,10.19,20,2,1,13,0.08,0.76,1,1.08,0.01,4,0.06,0.01,0.27,0.01,0.11,0.78,16,19,0.91,0.11,0.69,0.01,9,0.05,0.01,0.3,0.69,0,0.68,0,21.19,0.04,0,0,0.01,0.06,12,0,0,0.03,1,0.07,5.96,0,0.07,0.02,0.01,0.13,0.06,0,1,0.01,0,0.03,6.17,0,1,0.03,0,0.01,1.49,0,0,0,0,0,0.11,0.01,0,0.02,0,0,0
"98939",0,0,1,0.06,0.03,1,0,0.36,0.03,0,0.06,0.04,0.02,0.05,0.01,1,2,0,0.07,0,0.05,1,0.03,0,0,0.01,1,0.02,1,0,3,4,2,0.02,0,0,0.01,0.1,0.01,0.01,0,0,0.02,0,0.17,0.01,0,0,0,0,0.02,0,0,0,1,0.01,1,0.1,0.01,0.01,0.11,0,0,3.5,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"469888",1,0,0.09,0.02,0.03,1.28,0.03,0.21,0.01,2,6,0,0.01,0,0,2,0,0.07,0,0,0.03,0.01,0,0.57,0.57,0.04,5,1,0.01,0,0.01,0.16,0.1,0.08,0.23,0.01,0,0,8,22,0.07,0.11,0,0.01,1,0,0.04,1,1,0,0.22,67,10,0.07,19,6,0,0,3,0.01,0.06,0.04,0,0.11,1,0,6,0.01,0.01,3,0.01,0.08,0,0,0.28,1,0.85,0.04,0,0
"179460",0,0.01,0,0,0.03,0,0,0,1,0.03,0,6,0,0.06,3,0.04,0,3,0.03,0.07,0.02,2,0.02,0,0.01,0,0,0,3,1,3,0.01,0,1,0,0,0.01,0,0,0.03,1,0,0,0.04,0,0.02,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,6,0,0.01,0.29,0,0.01,0.22,0,0.04,0,0.01,0,0.02,0,0,0,0,0,0,0,0
"178148",0.01,0.01,0,0,0.24,0,0.02,0.02,0.04,0,0,0.01,0,0,2,0.01,0.07,0.01,4,2,0,0,0,0.01,5,0,0.01,0.03,11,0,0,2,0.01,0,0,13,0,2,0,0.01,0.13,5,0.08,0.06,0.08,0,0,0,0.05,0,0.01,0.01,0,11,0,3,0,0,0,0,0,11,0.03,0.01,0,0,0.01,6,0.01,0.34,22,0.01,0.27,0,0.11,3,0,0.24,0,0
"516022",0.35,22,12.36,39,2.66,1.14,0.07,5,4.7,180,1.22,0.02,128,0.56,58,0.01,15,3.59,28,0.1,1,40,0.12,0,0.01,0.85,0.57,8,0.06,0.2,14.41,18.48,0,27,43.68,5.31,0.79,0.02,0.11,8,141,0,11,0.03,0.01,0,44.03,0.08,0.01,3.52,150,11,0.07,0.48,10.38,3.09,3,0.02,0.02,71,0.15,0.01,595,1,0.11,1,0,0.63,0.15,0,0,17.38,2.07,13,0,0.57,0,0.06,0,0
