"","X100105.518417","X7912.518472","X7848.518594","X7855.518447","X100161.518473","X100195.518533","X7870.518457","X100003.518448","X7847.518410","X7861.518583","X100077.518436","X7844.518483","X7879.518469","X7862.518458","X100107.518577","X100173.518499","X100178.518498","X100074.518549","X7906.518589","X100207.518411","X7910.518536","X100171.518431","X100154.518504","X100102.518495","X100015.518484","X100165.518637","X100092.518547","X100191.518602","X100222.518527","X100226.518568","X7908.518449","X100083.518623","X100158.518625","X100212.518635","X100046.518563","X7860.518628","X100190.518464","X7904.518600","X100101.518475","X100217.518532","X100225.518544","X100144.518438","X7899.518560","X100088.518508","X100200.518491","X100203.518476","X100151.518550","X100084.518559","X100001.518462","X7911.518610","X100091.518616","X100058.518558","X100072.518459","X100168.518433","X100156.518612","X100065.518569","X100085.518596","X100150.518562","X100197.518442","X100087.518466","X7909.518566","X100060.518463","X100163.518435","X7858.518581","X7662.518467","X100234.518587","X100205.518470","X100164.518477","X100209.518521","X100052.518548","X100198.518598","X100176.518428","X100184.518455","X100079.518554","X100075.518638","X100192.518621","X100174.518479","X100100.518579","X100187.518520","X100115.518501"
"194994",0.02,0,0,0,0.02,1,25,0.01,0,0.03,2,0,0.02,0.02,0.02,0,0,0,0,0,2,0.01,0,2.85,0,1,0,0,0,0,0.01,0,0,4,1,1,0.05,0,0.03,0.01,59,1,0,0.08,0.01,0.01,3,0.06,0.02,0.05,1,0,1,0.09,0,0,0,0.01,0.01,0.02,0,0.01,1,0,0,1,0.04,0,2,0.01,0.06,0,0,0.01,0.63,0.02,0,0,0,0.05
"325738",23,0.01,1,11,26.38,0,0.82,0.02,21,2,0.9,0.39,0.05,2.08,2,0.48,16,0,10,1,0.13,2,81,0,0.11,0,0,82,15,62.03,0.02,1.77,14,140,0,2.98,0.31,5,2.16,0,0.05,0.05,1,0.02,2,0.02,0.01,13,0,0.07,0.11,0.56,19,0,0.02,0.11,0.25,0.03,0.49,95.86,1,0,0.01,76.41,11.17,0,0,0,18,0.01,0,0,0.26,0.03,0,0.04,0,0,0,0.12
"192252",0,5,5,2,3,1,0.03,0.09,1.78,10,0,1,1,10,7,1.32,2.42,4.07,7.71,0,9,0.08,1.01,0.01,0.11,0.14,1,1,1,0.05,5,0.01,4,0.08,0.01,2,1,0.58,0.65,3,0,0.04,5,0.49,1.64,0.11,1,0.01,0.03,2,0,2,0.01,0,7.76,0.59,1.17,2,0,0,1,0,0.1,0.06,16,0.24,0.05,0.2,0,0,0,0,0.24,0,0,0,0,0,0,0
"192071",17,23,16,184.76,75,70,0.85,0.06,422.66,49,252.17,42.8,7,49,363.98,61,1.06,30,58,44,28,185.16,23,0.13,4,22,148,11,35,13,25.66,21,131.92,8.54,268.82,24,60,21,95,24,0.01,0.61,16,183.58,226,14.08,52,67,143,278,40,238.29,113.81,0.01,40,0.21,12,29,247.81,32.9,2,0.12,160,14,4.94,193.49,86,0.1,0,20,55.11,0,118.95,0,0,0,0,0,0,0
"196932",0,0,0,1,0,0.01,0,0,0.01,1,0,0,1,0.01,0,0,0,0,0,0,0.01,0.06,0,0,0,0,0.01,0,0.01,0,0.03,0,0,0.01,0.03,0.02,1,1,0.01,0,0,0.04,0,0,0,0,1,0,0,0.02,0,0,0,0,1,0,1,0,0,0,0,0,0.01,0,0.02,0,0,1,0,0,0,1,0.01,0.02,0,0,0,0,0,0.04
"50448",0.05,0,0,0,0,1,0.01,0,1,1,0.01,0,1,0,0,0.02,0,0,0,0.13,0.05,0,0,0,1,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0.07,0.01,0,0.03,0,0,0.05,0,1,0.01,0,0.01,0,0.01,0,0,0,0,0,0.08,0,3,0,0,0.01,0.06,0.01,0.08,23,0,0,0.02,0,0.06,0.01,1,0.06,0,1,2.61
"188313",2,0,0.02,0,2,0,14,0.09,0,0,0.03,0.01,0,0,0.38,0,0,1.79,0,0,0,0.12,0,24,0.01,0,0,0.02,0,0.02,0,0,0,0.02,0,0,0,0,0,0,3.09,0.02,1,1,0,0,0,0.01,2.01,1,1,1,35,0,0,0.77,0,0,0.01,0.01,0,0,0,0,0,0,0,0.01,1,0,0.05,0,0,0.01,0,0.01,0,0,0,0.03
"348259",0.09,0,0,0,0.02,0.08,66,0.5,0.05,1,0.01,0,0,0,0.02,0.01,0,0.05,0,0,0.02,0.03,0,4,0.01,0.02,0.01,0,0.01,0,0.01,1,0,0,3,0.06,0,0,5,0.29,41,21,0,0.01,0,0.01,58,0.02,27,0.95,0.67,1,1.67,9,0.02,1,0,0.01,0,0,0,0.01,12,0,0.02,0.11,0,1,0,0.02,0,0.04,0,1,0.16,0,0,0,0,0
"179609",0.01,0,0.01,0.01,0,2,0,0,4,0.04,0.02,0.01,0,7,0.01,0,0.12,0,2,0.04,0.32,0,0.01,0,0,0.02,0,0,0.16,0,6,0.03,0,0,0.01,0,1,0.01,0.02,0,0,0.04,2,0,0,0,3,1,0,0,0.01,0,0,1,0.01,0,0,0.01,0.01,1,0,0,0.05,0,0,3,0.02,0,0.05,0,0,0,0,0,0.02,0,0,1,0,0.04
"90431",1,0.06,0.02,0.01,0.09,0.01,4,0.01,0,0.01,5,2,0,0.01,0.16,0,0,0.24,0.01,0.08,0.01,1,0,0.99,41,0.38,0,0,0,0.33,0.01,0.01,2,1.61,22.98,1,0,1,1,0.05,0.1,8,0,1.16,0.02,0,0.01,0.47,18,0.02,0.02,2,0.03,1.49,0,0,0,0.01,0.09,16,0,3,2,0,0.04,0,0.06,11,47,4,8.67,22,0.05,67,0.03,4,0,0,0,23.42
"184163",0.1,0.01,0,0.01,0.01,0.01,0,4,1.27,0,1,0.01,1,0.68,1,1,3,0.04,2,0,3,0,0.11,0.01,0.52,0.14,2,3,2,0.01,0.02,1,2,0.05,0,0.06,0,0.25,0.34,0.75,0,0,0.02,1,3,0,0.01,0,0,0.01,1.06,0.27,1,0.84,0,1,5,3,1,6,2.7,0.1,0,5,1,3,0,0.01,0.14,0.03,0,0,0,0,0,0,0,0,0,0
"470973",13,1,4.92,54,25.47,9,62,53.14,8,21,0.06,0.68,16.47,4,8,6,1,19.89,12.4,7.49,12,12,0.01,129,103.48,0.34,1.73,2.14,1,67,8.34,1.14,20,0.13,2.3,12,6.49,0.17,0.45,136,1,47.64,29,0.01,0.12,35,6,2,23,17,0,11,1,0,1,9,0.03,1,1,0,3,0.03,184.13,1.6,42,0.93,0.11,22,0,17,0.01,1.77,7,0,0.66,0.02,0.01,1,0.16,0.04
"182122",1,1,0.66,1,0.2,0.79,1,3,5.56,1,3.2,0.3,0.06,2,6,2.21,0.86,0,2,1,2,0.43,1,2,0.05,12,6,0.37,2,1,3,5.11,1,3,4.05,5.8,1,0.29,10,1,6.73,1.49,0.77,0,2,2,1,1,0.25,0.11,0.1,0.9,6,0.06,7.78,0.42,1.55,1.1,2.3,5.84,0,0,0.04,0.16,0,0.14,0.51,0,1,0.01,0,0,0.01,0.1,1,0.14,0,0.02,0,0.03
"210552",2,1,0.26,0.14,1.02,1,0.01,0.04,2,0.03,0.72,2,0.11,0.07,1,0.52,1,3,4.33,0.03,0.39,0.02,2,0.03,2.11,0,14,6,2,0.2,0.09,5,0.14,27.06,0.02,0.01,0.04,4,0.1,1,0,0,2,2,4,0.83,0.02,0.27,0.06,0.06,0.96,15.18,0.02,0,0.02,1,17.16,2,1,1.81,2.1,4,0,19,0.18,0.14,1,0,0.01,3,1,0.06,0.07,0.02,0.02,0.03,0.14,0,0,0
"304309",2,0.03,0.1,0.08,4,0.28,37,18,0.17,6,1,0.01,0,0.13,42.17,1,0.24,27.39,1,1,1,4.05,0.1,12,4.55,9,2,1,0.34,3,1,0.02,1,0.01,13,22,3,0,4.28,0.18,16,0.91,0.02,20.54,0.72,1.16,0.06,1,84,6,3,104.18,10,3,4,1.63,0.02,0.02,2,6,0.03,44,1,0.1,0.08,0.02,3,0.08,83,1,27.73,2,0,122,242,100,0,17,0,308.44
"187983",8,2,1.24,5.02,5.16,122,34,0.02,2,26,1.13,18,6,44,7,95.93,2,0.02,0.39,33,1,1,2,0.11,10,1.3,4,0.2,10,11.78,29,0,0.05,1.93,0.24,23,15,0.41,0.72,123,0,0.69,1,0.43,0.81,0,45,10,0.07,0.01,0,1.69,0.01,0,86,0.01,88.23,42,0,0.03,0.01,0.07,8,0.18,2,5.89,28,45,0,0.3,0,0.07,0.01,0,0,0,0,0,0,0
"300208",0.01,0,0,0,0.01,0.02,1,0.01,0,0,0,0.03,0,1,1,0,0.04,0.01,0,0,0.01,1,0,0.02,0,0,0,0,0,0,2,0,0,1,1,0.01,0,0.01,0.01,0,0.01,0.53,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"237324",1,0,0,0.01,0,1,0.23,1,0.01,0.01,14.78,0,0.01,0.01,0.01,0.01,0,37,0,2,0.02,0,0,8,5,0.01,0.01,0,0,1,0.01,0,0,0.02,2.72,0,1,0,0.01,0,3.79,0.54,0,3,0,1,0.05,1,6.17,0.32,0.04,2.6,0,15,0,0.18,0,0,0.1,1,0,4,0.01,0,0.11,1,1,9,47,5,6.21,5,41.14,121.22,16,40,0,7.61,0.9,212
