"","082B","005B","009B","053B","103B","052B","037B","056B","020B","100B","104B","087B","001B","110B","108B","107B","109B","112B","035B","067B","128B","045B","070B","019B","014B","025B","169B","040B","105B","028B","144B","172B","003B","038B","049B","170B","026B","017B","004B","072B","088B","093B","126B","101B","187B","509A","061B","078B","041B","178B","012B","140B","179B","150B","147B","027B","176B","013B","507A","016B","089B","099B","186B","068B","069B","030B","503A","064B","148B","505A","174B","142B"
"Otu117",0,1,0,32,0,834,0,0,533,0,0,0,0,0,220,0,0,0,0,0,0,0,0,22,0,0,0,0,0,125,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu555",0,0,0,0,1,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,0,0,18,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"Otu210",0,0,0,0,0,0,11,0,0,0,0,0,66,0,13,3,0,0,0,0,0,0,50,0,6,0,0,0,0,0,0,21,0,0,0,2,0,0,6,0,4,6,0,14,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,2,0,0,0,0,78,0,0,0,0,0,0
"Otu624",1,1,0,3,0,3,2,1,0,2,1,0,19,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Otu356",0,18,0,0,2,4,0,0,0,0,0,1,2,3,0,0,0,0,0,1,1,0,28,6,0,0,0,0,0,0,13,11,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu71",0,0,0,7,0,0,0,0,0,0,0,0,78,22,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu853",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,28,5,0,0,0,0,0,0,0,0,2,0,5,0,0
"Otu131",49,0,0,24,1,0,0,0,28,272,0,0,3,0,0,0,0,120,0,9,0,0,0,0,0,0,0,0,36,0,0,0,14,0,0,2,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu509",4,1,0,2,1,1,0,2,0,0,0,0,1,11,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,26,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu66",3,0,0,0,6,0,0,7,0,10,0,0,0,0,0,0,0,15,159,0,2,1,1,36,75,9,3,0,4,330,12,4,322,0,0,0,7,0,0,0,1,1,4,0,8,97,0,0,1,0,0,1,22,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
"Otu605",0,0,0,0,11,19,0,0,0,0,0,11,0,0,0,0,0,0,0,0,4,0,21,4,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu656",1,0,10,0,0,0,0,1,0,0,0,0,0,9,3,3,0,0,4,0,0,0,0,1,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu611",0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,1,0,0,0,5,0,1,0,1,0,0
"Otu455",0,0,0,0,0,0,0,0,0,0,2,0,47,11,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu537",0,0,32,0,0,0,7,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu11",0,0,78,55,93,8,11,0,41,98,40,74,0,132,120,24,27,567,112,26,0,193,0,53,43,4,76,0,0,14,16,0,79,713,0,0,100,77,0,0,0,1,2,75,21,0,7,0,133,23,543,3,6,36,145,129,56,637,0,0,10,27,23,0,126,0,0,0,50,13,103,48
"Otu357",0,2,0,0,1,2,0,0,0,0,0,0,0,7,0,0,3,0,1,1,0,0,0,2,16,0,6,6,0,4,0,8,0,0,3,2,0,12,16,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Otu113",7,32,9,11,16,6,15,5,11,6,0,12,0,4,11,3,11,0,0,15,4,5,0,18,9,20,5,42,4,13,2,0,1,0,4,6,0,21,17,11,9,4,0,8,0,0,7,2,0,0,7,4,0,2,3,7,0,37,0,0,0,6,0,11,0,0,0,0,0,0,0,5
"Otu477",1,1,0,0,0,0,0,2,0,0,0,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
"Otu458",0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu62",0,0,230,0,0,28,8,4,568,1,0,33,44,0,94,10,28,0,0,0,8,145,247,155,52,16,88,0,0,0,61,72,402,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,118,0,0,0,21,0,0,1,0,0,0,0,0,0,0,0
"Otu6",0,0,0,0,16,0,0,13,382,0,0,0,57,1069,0,1,0,0,0,0,0,293,0,0,0,372,0,0,0,44,0,0,206,0,0,0,0,0,102,0,0,0,0,0,463,0,0,0,0,116,0,2571,119,0,674,367,0,0,0,0,0,0,170,0,0,560,1258,0,0,0,0,0
"Otu339",0,16,0,49,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,3,0,0,12,0,0,0,14,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu132",0,0,11,3,0,5,0,11,0,116,0,9,134,78,2,3,0,0,109,0,0,0,0,1,35,55,0,0,4,0,0,278,546,0,0,9,0,4,0,1,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu122",0,224,59,0,0,16,0,0,0,0,0,851,0,0,18,192,1,0,0,31,1,0,0,9,0,0,7,0,0,0,201,0,0,0,28,379,0,0,0,0,0,0,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu92",0,0,0,0,0,0,0,0,24,1,7,0,17,0,5,0,0,0,0,4,0,88,6,0,10,37,0,0,0,3,0,0,58,0,0,0,16,0,0,0,11,1,0,33,0,0,1,0,0,0,10,0,0,0,0,0,0,36,43,0,0,0,0,0,21,9,221,0,0,9,0,0
"Otu379",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,168,0,0,0,1,0,0,0,0,17,0,0,53,0,0
"Otu387",7,0,37,0,13,9,7,0,0,0,0,0,0,0,0,3,0,0,21,1,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu4",1342,0,1180,4349,1186,0,5124,5114,0,0,21,0,0,1,4071,0,4354,5,0,3629,4383,0,0,5748,6,0,420,0,2119,3627,4786,0,0,0,3108,0,0,0,0,6059,0,0,0,0,0,0,8708,4986,2855,5154,0,0,0,0,0,4644,6,0,0,0,7372,0,5994,7326,0,6556,0,0,0,0,0,3640
"Otu612",0,0,0,4,0,0,0,0,0,0,4,0,9,0,0,0,8,0,0,0,0,6,0,0,5,0,0,0,0,5,0,0,1,0,0,0,1,0,6,0,0,1,0,0,1,2,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,1,4,1,0,0,0,0
"Otu830",0,0,0,0,0,0,0,0,5,0,4,2,1,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"Otu627",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,9,2,0,0,3,2,0,0,0,0,0,3,0,0,0,3,0,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,3,0,6,3,0,0,0,0,0,0,0,0,0,0,1,0,0
"Otu886",1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu377",1,4,0,0,7,0,0,0,0,0,0,0,7,3,0,0,0,0,5,2,0,1,0,0,0,3,0,2,0,0,1,0,2,0,3,0,27,0,0,0,2,4,0,0,15,0,0,1,0,10,0,0,31,0,0,0,10,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
