"","X082B","X005B","X009B","X053B","X103B","X052B","X037B","X056B","X020B","X100B","X104B","X087B","X001B","X110B","X108B","X107B","X109B","X112B","X035B","X067B","X128B","X045B","X070B","X019B","X014B","X025B","X169B","X040B","X105B","X028B","X144B","X172B","X003B","X038B","X049B","X170B","X026B","X017B","X004B","X072B","X088B","X093B","X126B","X101B","X187B","X509A","X061B","X078B","X041B","X178B","X012B","X140B","X179B","X150B","X147B","X027B","X176B","X013B","X507A","X016B","X089B","X099B","X186B","X068B","X069B","X030B","X503A","X064B","X148B","X505A","X174B","X142B"
"Otu117",0,1,0.22,32,0.02,834,11.19,0.26,533,0.02,0.13,0.15,0.08,0.04,220,0.02,0.52,0,1.59,0.66,0.33,0.02,0.51,22,0.01,0.12,0.02,0,0,125,0.21,0.01,0.08,1,0.07,0.39,0.11,0.08,0,0.2,0,0,0.03,0,0,0,0,0,0.04,0.01,0.72,0,0,0.01,0.05,0,0,0,0.02,0,0,0,0,2.23,0,0,0,0,0.05,0,0,0
"Otu555",0.02,0,0,0,1,0,0,0,7,1,0.01,0,0.01,0.02,0,0,0,0,0,0.02,0,0.01,0.02,0,0,0,0,14,0,0,0.03,0,0.02,0.01,0,0,0,0.01,0,0,0,0.01,0,0.01,0,5,0,0,0,0.02,0.8,0,0.01,0,7,0.01,0,18,0.01,0.01,0,0.1,0,0,0,0.01,1.85,6,0.04,2.04,0,0
"Otu210",0.01,0,0.01,0.25,0,0.01,11,0,0.35,0.41,0.07,0.19,66,0.37,13,3,0,0.23,0.14,0.02,0.01,0.29,50,0.01,6,0.16,0,0,0.01,0,0.01,21,2.92,0,0,2,0.01,1.78,6,0.03,4,6,0.01,14,0.04,0.06,0.02,0.01,0,0,0,0.41,0,180,0,0.05,0.01,0,0.07,0.01,2,0.04,0.03,0.05,0,78,0.04,0,0,0.01,0,0
"Otu624",1,1,1.86,3,0.03,3,2,1,1.68,2,1,0.03,19,4.24,0.31,0.14,0.03,0,2,0.03,0.09,0.53,0.01,0.26,7,0.03,0.04,0.02,0,1,0.04,1.51,0.48,0.07,0,0.68,1.12,6,0.13,0.08,0,0,0.01,0,0,0,0,0.09,0.01,0.59,0,0.01,0,0.02,0,0,0,0,0,3,0.22,0,0,2.31,0,0,0,0,0,0,0.07,0
"Otu356",0.14,18,0.11,0.39,2,4,0.59,0.04,0.08,2.08,0,1,2,3,0.16,0.58,0.11,0,0.07,1,1,0.02,28,6,0.03,0.11,0.48,0.6,0,0.05,13,11,0.03,0.04,2.55,0.11,0.11,3,0.02,0,5,0.02,0.36,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu71",0.03,0,0,7,0.01,0.01,0.03,0,0.42,3.22,0,0.01,78,22,8,0.02,4,0,0,0.02,0.02,0.08,0.08,0,0.09,0.27,0,0.15,0,0.02,0.01,0.76,0.02,0.3,0,0.05,0.29,299,0.1,1.41,0.08,0.01,0,0,0,0,1,0.02,0,0,0.01,0,0,0.01,0,0,0.06,0,0,0,0.02,0,0,0.84,0,0,0,0,0,0,0,0
"Otu853",0.03,0,0,0,3,0,0,0,0.01,0.02,0.01,0,0,0.02,0,0,0,1,0,0,0,3,0.03,0,0,0,0,0,1.26,0,0.04,0,0.01,1,0.01,0,0,0.04,0,0,0,0.22,0,1,0.03,0.02,0,0,0,0.02,0,0.01,0.12,0,34.29,1,0.01,28,5,0,0,0.08,0,0.01,0,3.07,2.17,2,0.16,5,0,0
"Otu131",49,0,0.06,24,1,0,0,0.3,28,272,2.89,0.01,3,11.53,0.05,0,0,120,0.03,9,0.03,22.27,0,0.04,0.45,2.92,0.25,0.12,36,0.01,0.03,0.03,14,7.28,0.44,2,0,0.02,0,0.18,0,24,0.01,0.04,0,0.1,0,0,0,9.87,0.14,0.25,0.02,0,63,0.03,0.02,0.08,0.01,0,0,0,0,1.86,0,0,0,0.9,0,0,0.01,0
"Otu509",4,1,0.76,2,1,1,0.01,2,0.17,1.77,0.01,0.01,1,11,0.46,5,0.04,0,13.2,0.08,0.22,0.03,0,0.76,0.17,0.05,0.91,0,0,0.07,10,26,0.05,0,0.03,3.34,0.01,0.01,0.02,11,0.05,0,0.05,0,0,0,0,0,0,0.88,0,0.01,0,3,0,0,0,0,0,0,0.02,0,0,0.37,0,0,0,0,0,0,0,0
"Otu66",3,130.25,14.26,0.15,6,9.47,1.22,7,19.27,10,68.59,52.83,4.63,21.87,3.01,144.22,6.28,15,159,4.01,2,1,1,36,75,9,3,0.01,4,330,12,4,322,0.72,4.73,0.01,7,0.17,0.06,0.01,1,1,4,2.41,8,97,0.03,0.14,1,129.48,0,1,22,1.5,1.33,0.65,0.06,0.22,0.06,0.01,0,1,0.02,2,0,0.05,0.05,181.52,0.14,0,1.91,2.63
"Otu605",0.03,0.02,0.25,0.25,11,19,1.31,0.07,0,0.04,0,11,0,0.09,0.05,0.01,0.01,0,0.02,0.04,4,0,21,4,0,0,0.05,0,0,0.04,18.65,0.01,0,0,41,0,0,0,0,0,0,0,1.93,0.02,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu656",1,1.42,10,0.04,0.07,0.39,0.05,1,0.02,0.2,0,0.04,0.17,9,3,3,0.03,0,4,0.31,0.05,0.01,0.04,1,0.03,65,0.12,0,0,0.2,0.01,0.02,0,0,0.02,0.03,0,0,0,0,0.05,0,0.01,0,0,0,0.09,2,0.14,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.03,0,0,0,0,0,0
"Otu611",0.01,0,3,0,0,0,0,0.04,0.01,0,1,0.01,0,0,0,0,0,0,0,0,0.01,0.01,2,0.01,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0.01,0,0,0,0,0.2,0.01,0.02,0.01,0.02,0,0,0,0.01,0,0,3,0,0,2,0.07,0,0,1,0.01,0,0,5,2.28,1,0,1,0,0
"Otu455",0.06,0,0,0,0.03,0,0.01,0,0.39,0.37,2,0,47,11,0,0.01,0,1,0,0.01,0,0.06,0.02,0,0.33,0.01,0,2,0.1,0.06,0,0.2,0.02,0.36,0.02,0,0.08,2,0.14,0,0.05,0.01,0,0,0,0,0,0.03,0,2,1,0.02,0,0.02,0.07,0,0,6,0,0.03,0,0,0.16,0,0,0,0.42,0.08,0,0.05,0,0
"Otu537",0.02,0.01,32,0.03,0,0.02,7,0.11,0.02,0,5,1,0,0,0.01,0,0.02,0,0,0,0.1,0,0.01,0.02,34,0,0,0,0,3,0,0,0.16,0,0,1,0.11,0,0.01,0,0,0,0,0,0,0,0.12,3,0.87,0,0,0.01,0,0,0,0,0,0,0,0,0.46,0,0.03,0.05,0,0.03,0,0,0,0,0,0
