"","X082B","X005B","X009B","X053B","X103B","X052B","X037B","X056B","X020B","X100B","X104B","X087B","X001B","X110B","X108B","X107B","X109B","X112B","X035B","X067B","X128B","X045B","X070B","X019B","X014B","X025B","X169B","X040B","X105B","X028B","X144B","X172B","X003B","X038B","X049B","X170B","X026B","X017B","X004B","X072B","X088B","X093B","X126B","X101B","X187B","X509A","X061B","X078B","X041B","X178B","X012B","X140B","X179B","X150B","X147B","X027B","X176B","X013B","X507A","X016B","X089B","X099B","X186B","X068B","X069B","X030B","X503A","X064B","X148B","X505A","X174B","X142B"
"Otu50",0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.17,0,0,0,0,0,0,0.01,0,0,0,0,0.98,0,30,1.51,0,0,23,1.56,0,50,80,26.6,89,12,8,35.46,55.5
"Otu219",0.05,1,8,0.08,5,0.15,1,1,0.05,0.01,0,5,1.58,0.06,4,0.04,2.56,3,0,0.09,0.03,0,1.1,0.08,4,0,0.02,0.04,0.09,0.35,2,0.07,0,0,6,0.04,0,0,118,1.38,0.02,0.01,0,0,0,0,1,0.8,0.01,0.03,115,0,0,0.57,0,0,0,0,0,0.25,0.32,0.03,1.56,0,0,0,0,0,0,0,0,0
"Otu39",0,0,0.02,0,0.03,0,0,0,0,0,0.02,99,0,0.04,0,0,0.05,78,0,0,0,0,0.01,0,0,0.55,6,0,0,2.7,0.02,0,0.04,0,0,0.01,565,96,0,0,0.03,0.01,0,0,23,0.01,0,0,0.01,0,176.96,0.01,27,0,0,0,0,240.54,0,0,0,111,1.56,0,52,1.53,0.25,71,0.23,0.07,0,109
"Otu685",0.01,0,0,0,0,0,0,0,0,0.08,0.05,0,4,1,0,0,0.01,0.01,0,0,0,4,0,0,0.02,0,0,0,0,0,0,0.01,4,0,0,0,0,0.04,0,0,0.02,0,0,0,1,0.09,0,0,0,0,0,0,0.01,0,0.08,0.03,0,8,0.5,0,0,0.03,1.56,0,1.17,0,0,6,0,0.01,0.01,0.01
"Otu687",0.14,1,7,0.02,1,0.13,0.03,1,3,4,0.01,0.3,2,0.01,0.03,0.02,0.15,2,1,0.09,0.01,0.05,0.13,0.1,1,0,0.01,0.04,0,0.11,0,0.27,0,0.42,0.11,0.05,0,0,1,0.41,0.01,0,0,0.02,0,0,0.05,0.01,0.06,0,0.06,0,0,0,0,0,0,0,0,0,0,0,1.56,0,0,0,0,0,0,0,0,0
"Otu316",0,0,0,0,0,0,0,0,0.01,0.05,0.2,0,2,0,0.08,0,0,0.02,9,0.01,0,17,0.06,0,0.21,0,0,0,0,0.01,0,0,1.07,0.02,0,0,0.01,0,0.16,0.03,0.15,145,0,11,0.19,15,0,0.04,0,0,0,4,0,4,0.26,0.03,0.03,0,0,0,0.07,0.13,1.56,0,0,0.09,0,0,0,0,0,0
"Otu411",0.09,0.12,3,0.05,2,0.02,0.03,0.6,5,1,0,0.22,0.27,0.24,1.22,0,1,0.85,1.24,0.04,0,0,4,1,0,4,0.03,0.01,0.02,0.04,0.02,0.16,0,0.02,0.11,1,0.04,0.04,2,0,0.02,0.01,0.01,0,0,0,0.09,0.02,0.79,0.1,1,0,0,5,0,0.02,0.02,2,0.16,0,0,1,1.56,0,0,0,0,1.54,0,0.03,0.01,0.13
"Otu244",59,0.04,0.08,0,2,0,0,0.3,0,0.03,71,0,0.26,0,0,0,0.06,0.61,0,0.05,0,156,0.01,0,0,0,0.23,0.01,0,0,0,0,20.48,0,0.09,0,0,0.04,0,0,0.09,0,0,0.04,0.01,0,0,0.01,0,9,0,0,0,0,8,0,0,0,0,5,0,0,3.68,0,0,0,0,0,0,0,0,0
"Otu853",0.3,0.03,0.01,1,3,0,0,0.03,0,0.12,0.11,0.11,0.04,2,0,0,0.16,1,0,0,0,3,0.01,0,0,0.02,0.05,0.05,0,0.02,0,0,0.13,1,0,0,0,0,0,0,0,0,0,0,0.05,0,0.01,0,0,0,0.01,0,0.02,0,1.4,1,0,28,5,0,0,0.04,240.45,0.6,0.48,0,0,2,0.01,0.14,0.03,0.01
"Otu518",0.09,0.09,0.07,0.01,3,0,0.02,3,5.36,4,2.32,0.02,7,0,2,0.1,0.95,0.2,1,0.03,0.02,1,2,0.01,0.66,0,0.02,0.03,1,0,2,3.03,2,1,0.17,0,0.01,0.51,5.06,3.27,1,0.12,0,11,0.01,0.05,0.14,0.01,5,0.03,0,0,0.02,3,0.68,0,0.01,0,0,0.17,0.22,0,1.56,0,0,0.04,0,0,0,0,0,0
"Otu93",9,6,6,5.14,6,2.24,1.45,6,36.66,6,2.89,0.34,19,23,21.77,0.39,13,0.57,18,27.73,2,92.01,16.35,6.24,43.02,39,14.25,2.12,0,0.02,0.06,2.15,0.08,6,1.31,0.2,0.19,3,8,8,11.99,39,0.01,1,7,3.67,16,1.44,0,26,0.62,1,11,0.2,77,0.05,23.93,0.51,0,0.05,4,142,48,0.01,0,14,0,0.08,0,0.02,0,0.88
"Otu67",3.05,1.31,0.03,11,0.07,0,7,0.06,18,0.45,0.04,1,3.58,2.71,10,0.14,4,21,161,0.11,0.05,4,0.1,0.1,1,0.07,0.03,0.03,0.12,0.13,52.61,61,67,0.46,0.12,0.05,0,0.02,53,0.09,3,0.25,0.01,0.21,0.01,0.27,103,27,42,1.73,0.38,0,0,91,6,0,0.02,0,0.16,57,0.54,0,1.71,0.13,0.02,0,0,0,0,0,45,0
"Otu326",0,0,0,0,0,0,0,0,0.23,5,14.5,0,0.17,0,0,0.01,0,0.01,9,0,0,2,0,0,0,0,0,0.03,0,0,0,0.06,7.56,52,0,0,0.01,30,0.02,0,0.02,0.06,0,46,2,0,0.01,1,0,0,0,0.04,0.11,0,27,17,0.01,0,0,0.06,0,0,1.56,0.01,0,2.46,0,0,0,0,0,0
"Otu746",33,0.38,0.29,53,0.02,11,7,0.09,0,0,0,0.02,0,0,0.02,8.1,0.03,0,0,0.29,25,0.1,0,0,0,0.16,0.07,45,27,0,0,0,0,0,0.39,0.01,0,0,0,0,0,0,0.12,0,0,0,0.02,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.56,5.69,0,0,0,0,0,0,0,0
"Otu523",0,13,0,0.05,0.01,0.05,4,0.02,0.65,2,0,0.01,0.33,0,0.04,0.01,0,0,0.21,0.01,0.01,0,1,0.06,2,0,0,0,0.05,0,0,0.04,0,0.02,0.06,0,0.01,0.05,0.02,2,0.04,3,0,0,0,0.06,0.01,0.03,2,0,0,0,0,0.01,0,0.02,0,0,0,0,0.11,0.02,1.56,0,1,0,0.02,0,0,0,0,0
"Otu79",198.72,1,1,11,2,0.1,5.06,43,26.99,45,15.54,2.34,50,18,23,0.06,56,0.02,17,80,0.14,11.43,0.07,2,11,0.58,26.53,0.88,0.05,18,13.71,99,32,14,0.14,3,0.04,0.87,37,21.72,21.49,29.7,0.07,90,82,11,43,0.76,0,32,0,14,172,1.68,6,0,5,0,0,10,2.61,0,4,0.13,0,1,0,0,0,0,0,0
"Otu705",0.62,0.19,2.38,0.15,8,4,0.37,0.15,14,11,0.05,0.84,0.08,0.36,0.05,0.92,3,17,7.73,0.02,1,1,2,1,0,0,0.04,0.06,1,2,14,0.09,0.07,0.1,15,0.02,0.01,0.03,0.01,0,0,0.01,11,0,0,0,0.17,1,1,0.18,1,0.03,0,0,0.03,0,0.04,0.13,0,0.06,0,1,1.56,0,0,0,0,0.31,0.03,0,0,2
"Otu923",0,0,0,0,0,0,0.01,0.01,0,0.01,0,0,3,0,0.21,1,0,0,0.01,0.02,0.01,0.07,2,0,1.45,0,0,0.04,0.25,0,0,0,0,0,2,0,0.01,0.19,0.14,1,1,1,0,0.03,0,0.03,0.08,7,0.06,0.02,6,0,0,3,0,2,0,0,0,0.21,0.07,1.38,3.46,0.02,2,1,0.03,0,0,0,0,0
"Otu490",7,41,0.92,10,6,0.07,3,6,1.19,11,0.04,21,0,0,0.14,0.1,5.28,9,0.05,0.44,0.1,0.16,0.03,0.26,0,0.06,19,0.05,0.03,1.89,0.01,0.09,0,0.02,0.75,0.9,0.63,0,0,2.16,0.02,0,0,0,0,0,0.17,0,0,0,0.26,0,0.12,0,0,0,0,0,0,0,0,0,1.56,0.12,0,0,0,0,0,0,0,0
"Otu4",1342,1514,1180,4349,1186,4024,5124,5114,4.94,2.49,21,1081.06,51.3,1,4071,5919,4354,5,989.97,3629,4383,74.1,759.98,546.91,6,59.14,420,2569,2119,0.04,237.62,0.25,0.03,0.01,3108,234.26,3.94,0.36,1608.33,6059,4390,4575,23.77,10,0.01,3.01,8708,4986,0.02,5154,0.07,0.01,0.53,500.76,0.62,751.14,6,0,0,6568,7372,0.81,5994,363.3,0.15,0.1,0,0,0,0,0,0
"Otu517",0,0,0,0,0,0,0,0,0.01,1,0.05,0,15,0,0,0,0,0,0.01,8,0,0.06,0.01,0,8,0,0,0,0,0,0,0.03,0,0.01,0,0,0,0,0.02,0.01,0.07,2,0,33,0.01,0.05,0,0.01,0,0,0,0,0,0.01,0,0.01,37,0,0,0,0.02,0.01,1.56,0,43,0.16,0.22,0,0,0,0,0
