"","X100105.518417","X7912.518472","X7848.518594","X7855.518447","X100161.518473","X100195.518533","X7870.518457","X100003.518448","X7847.518410","X7861.518583","X100077.518436","X7844.518483","X7879.518469","X7862.518458","X100107.518577","X100173.518499","X100178.518498","X100074.518549","X7906.518589","X100207.518411","X7910.518536","X100171.518431","X100154.518504","X100102.518495","X100015.518484","X100165.518637","X100092.518547","X100191.518602","X100222.518527","X100226.518568","X7908.518449","X100083.518623","X100158.518625","X100212.518635","X100046.518563","X7860.518628","X100190.518464","X7904.518600","X100101.518475","X100217.518532","X100225.518544","X100144.518438","X7899.518560","X100088.518508","X100200.518491","X100203.518476","X100151.518550","X100084.518559","X100001.518462","X7911.518610","X100091.518616","X100058.518558","X100072.518459","X100168.518433","X100156.518612","X100065.518569","X100085.518596","X100150.518562","X100197.518442","X100087.518466","X7909.518566","X100060.518463","X100163.518435","X7858.518581","X7662.518467","X100234.518587","X100205.518470","X100164.518477","X100209.518521","X100052.518548","X100198.518598","X100176.518428","X100184.518455","X100079.518554","X100075.518638","X100192.518621","X100174.518479","X100100.518579","X100187.518520","X100115.518501"
"584417",1,0.59,17,0,2,1,0.08,0,0.05,0.03,0.05,6,58,0.16,15,0.4,0.01,7,0,5,2.09,12,5,0,0,0,0.01,0.19,0.01,175,0.04,0.01,0.03,0.21,0,0.01,0.03,1.54,0,0,0,0,0.03,0.09,0,0.01,0,0,0,1.1,0.02,0,0,0,0.04,0,0,0,0,0,28,0,0.01,0.38,68,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0
"312461",28,109,1,0.12,324.86,11,449.65,18,161.39,22,294.5,14,1,7,8,155,13,0.08,27,9,438,22,7,128,0.48,1,239.96,39.36,13.43,21.56,151,0.28,9,2,16,0.51,170.13,17.83,18,10,1,18,11.58,9,12,1,1,1,36,81,64,9,23,228.36,19,2,0.95,0,43.58,35.39,3,1,1.02,493,2,1,1,121.1,1,0.03,4,2,4.33,308.91,10,0,78.62,24,0,20.33
"195294",0.04,0,0,0,0,0,0,3,0,0.05,1,1,0,0.1,0,0.77,0,0.11,1,0.01,0.02,0,0,0,0.01,0.05,0.01,0.01,0.09,0,0,1,0.12,0.02,0.03,1,0,0,1,1,0,0,1,0,1,0,0.05,1,0.02,0,0.02,0.01,0.23,0,0,0.05,0.04,1,0,1,0,0.03,0,0,0.03,0,0.12,0,0,0.01,0,0,0,0,0,0,0,0,0,0
"299762",1,1,0.03,1.03,0.09,2.44,0,0.36,2,1,0.02,0.01,0.01,0.02,0.01,2,0.83,0,2,1,0.01,0.05,0,0,0.03,2,1,0.01,1,0,0.03,0.03,0.01,0,1,0.05,0,0.02,1,0.46,0.06,0.12,0.01,0,1,0,1,1,0,0.04,0,0.05,2,3,0.18,0.05,1,0,0,1,0,0,1,0.36,0,1,0,0,1,0,0,0,0,0,0.02,0,0,0,0,0
"109014",3,0.06,0.03,0.05,0.57,4,7,12,7,8.93,17.63,3,10,2,0.02,2.58,1,10,2.16,1.47,10,1,18,1.81,0.17,34.81,15,0.21,1.95,0.79,4,2,8,0.3,2,1.15,4,0,89,3.06,0.5,6,0.05,1,0.33,8.92,1,22,0.01,0,43,2.74,48,45,42.33,0.01,5,0,0.15,104,0,0.06,14.62,39,1.31,4,0.01,0,0.06,0,0,0,0.01,0,0,0,0,0,0,0
"522353",2,0,0.01,0.01,0,98,0.01,0.05,0.01,0.04,0.73,0.01,0,0,1,0,0,0.03,0,0.01,1,0.07,0.13,22,0,0.2,0,0,0.02,0,0,0.19,0,0.01,0.04,4,0,4,0,0.01,0.18,1,0,0.21,0.02,0,15,0,0.12,0,0.31,1.16,45,98,0,0,0,0.1,1,0,0,4,0.02,0,0,0.07,0.05,0.02,49,0.01,0.69,0.19,0.54,0.47,0.16,0,0,0.01,0,0
"295144",3,0.57,0.32,1,1,0,0.1,0,0.01,0.07,0.01,1,0.09,0.02,3.51,0.12,2,0,0.01,3,0.01,0,0,1,1,0,1,0.05,3,0,0.01,0.16,0.04,0.01,0,0.13,0,0.55,0,0.01,0,0,0.49,1.72,0.01,0.69,0,0.01,4,1,0,0.03,0,0,0,0,0.02,0.09,1,0.02,0,0,0.02,0.07,0.02,0,0,0.18,0,0.04,0,0.03,0.94,0.01,0,0,0,0,0,0
"191476",1,0,0,0.02,0.02,5,4,3,1.17,3,1,0.12,1,4,0.16,0.02,1,2,1.81,0,0.12,3,1,2,0.05,0.04,0.01,1,0,1,0.03,0,0.07,0.06,2.63,0.12,1.07,1,1,0,0.93,5,0.01,0.04,0.03,8,0.08,1,0,3,14.35,0.86,5,1,9,0.01,0,0.01,0,0.04,0,0.06,2,0,0.02,4,0,0,0.36,1,1.27,2,0.01,0.11,0.01,0,0.02,0.09,0,0
"539107",0.13,0.2,0,10,0.07,0.35,2,0,0,0.02,0.37,0,0,0.02,0,5,0,42,0.03,0,0.04,11,0,336.92,0.11,0.41,0.21,0.02,0.01,1,0.07,1,0.06,0.01,8.74,1,1,0.03,0,11,90,4,0.31,13.43,0.01,0.24,0.22,4,183.18,34,0.07,2,2,0.27,0.26,11,0,3.36,1,4,0.01,1,30,0.1,0,0,1.58,125,51.21,20,0,76.2,6,30,206,19,0,15.19,0.01,72.86
"168711",2,0.16,0.02,0.01,1,2.55,1,3,0,1,5,2,0.01,0.04,0.2,0.21,0,0.09,2,0,0.01,7,0,1.89,0,5,0.01,0.07,0,0.03,0.01,0.05,2.09,0.01,4.38,0.44,0.04,0,0.04,5,5,0.12,0,0.24,13,4,3,0.04,5,3.99,0.01,5,6,0,0.02,3,0.01,9,2,0.02,0,0,0.01,0,0.03,0.01,0.01,22.16,0,0,0,0,6,0.01,0,0,0,0,0,0
