"","X100105.518417","X7912.518472","X7848.518594","X7855.518447","X100161.518473","X100195.518533","X7870.518457","X100003.518448","X7847.518410","X7861.518583","X100077.518436","X7844.518483","X7879.518469","X7862.518458","X100107.518577","X100173.518499","X100178.518498","X100074.518549","X7906.518589","X100207.518411","X7910.518536","X100171.518431","X100154.518504","X100102.518495","X100015.518484","X100165.518637","X100092.518547","X100191.518602","X100222.518527","X100226.518568","X7908.518449","X100083.518623","X100158.518625","X100212.518635","X100046.518563","X7860.518628","X100190.518464","X7904.518600","X100101.518475","X100217.518532","X100225.518544","X100144.518438","X7899.518560","X100088.518508","X100200.518491","X100203.518476","X100151.518550","X100084.518559","X100001.518462","X7911.518610","X100091.518616","X100058.518558","X100072.518459","X100168.518433","X100156.518612","X100065.518569","X100085.518596","X100150.518562","X100197.518442","X100087.518466","X7909.518566","X100060.518463","X100163.518435","X7858.518581","X7662.518467","X100234.518587","X100205.518470","X100164.518477","X100209.518521","X100052.518548","X100198.518598","X100176.518428","X100184.518455","X100079.518554","X100075.518638","X100192.518621","X100174.518479","X100100.518579","X100187.518520","X100115.518501"
"42372",2,0.01,0,3,2.08,0.49,5,15,0.82,0.01,1.79,0.04,0,0.02,0.02,0,0,0,2,0.01,0.03,0,0,0.71,1,0.31,7,0.12,1,0.36,0.12,0.4,14,0.44,1.05,38.84,0.27,0.9,13,4,0.02,1.27,7.03,0,0.38,0.03,51,8,7,0.65,0.3,0.9,58,1,1,15,0.04,33.29,4,0.04,2,0.11,11,0.01,0,0.01,0.06,8,0,1,23,0.06,15.78,2,0,1,6.45,0.2,3.74,0
"179609",0.01,0,0.01,0.03,0,2,0,1,0,0,0.05,2,0.01,7,0,0.01,0.01,0,0.01,0,0.08,0,0,0,0,0.01,0.33,0.07,0.01,0.04,6,0.13,2,0.04,0,4,0,0.08,0.01,0,0,0,2,0,0.04,0,3,1,0,0,0.03,0,0.01,1,0.01,0,0,0.39,0,1,0,0,0,0.05,0,0.61,0,0,0,0,0,0,0.01,0.01,0,0.01,0,1,0,0.03
"308759",0,0,0,0,0,0,1,0,0.02,0,1,0.01,0,0.01,0.01,0,0,0.12,0.01,0,0,0,0,1,0,1,0,1,0,0,0.01,1,1,0.01,1,0.01,0,0,0.03,0.03,0,0.01,1,0.02,0.02,0,0,0,0.03,0.11,0.03,0.01,0.03,0.01,0,0.01,0,0,0,0.01,0,0,0,0.03,0,0,0.01,0,3,0,1,1.4,0.01,1.95,0.78,0.34,0,0.78,0,2
"186277",2,2,2.18,1,1,4,1,3,8,12,14.93,2,6.11,9,3,3,3,5.92,5,2,9,1,5.31,0.09,0.22,8,2.34,1,1,1,4.67,3,2,1,0.16,0.07,8,0.05,8,0,4,0.79,4,0.38,0.02,1.68,0.01,0.66,0,8,0.63,0.11,10,0,0.18,7.04,4,0.02,0.19,3.51,0.02,10,0.09,0.66,0.1,1.62,1,0.01,0,0,0.04,0,0,0,0.03,0,0,0,0,0
"198270",0.01,0.04,1,0.77,0.01,2,0.01,2,4,1,2.65,0.12,0.09,2,0,0.41,1,0,0.09,0,2,0.01,0,0,0,7,3,0.39,0.01,1,0.3,1,0.18,0.07,1,1,1.94,0.01,1,0,0,0,0.05,1,0.02,0,0.01,1.44,0.02,0.06,2.24,0.88,0.08,0.03,0.02,0.01,2,0.02,2,1,0,0.07,0,0.02,0,2,0.02,0.01,0,0,0.01,0,0.01,0,0,0,0,0,0,0
"308774",1,3,0.01,0.02,1,0.29,0.01,0.2,0,0,3,0,1,0.05,0.08,0.02,0.15,0.27,0.16,0.01,0,0,0.01,0.01,1,0.02,1,2,0.02,0,0,4.16,0.94,0.03,0,1,0.01,1,0.15,1,0,0.03,0,2,0.05,0.01,0.01,0.01,0,0,1,0.03,0.02,0.47,0,0.08,0,0,0.01,0.07,0.01,0.11,0,0.25,0,0,0,0.02,0,0.03,0.22,0,0,0,0,0,0,0,0,0
"301062",0.01,1,0,0.01,0,0.01,0.01,0.04,0,0,0,0,0,0,0,0.01,0,15.23,0,0,0,0,0,1,0.01,2,0,0,0,0,1,0,0.01,0.01,2,2,2,0,0.02,2,0.07,2,0,0,0.01,0,0.04,0,1,0.63,0,2,1,0.01,0.22,0,0,0,0,0,0,0.07,0.09,0,0,0.01,0.02,0,8,0,0.37,0.03,1.18,6,89,0.01,29.28,1,0.13,84.02
"212042",0.03,0,1,0.02,0.01,1,48.37,0.34,0.09,1,0.01,0,0.02,0.01,0,0.16,0,0,0,0.01,0.22,0.24,0,53,1,0.35,0.01,0,0,1,0.01,0.03,1.16,0,128,4,0,0.24,0.21,7,65,1,0.01,0,0.06,10,174,4,1,12,0,0.01,112,0.41,5.91,0.03,0.02,0.25,3,1,0,0.06,0.13,0,0.01,22.71,1,2,0.03,33,7.16,1.31,26,53,20.28,1047.36,93.1,688,54,81
"196932",0,2,0,1,0,0.01,0,0.01,0.03,1,0.02,0.01,0.01,0.05,0.01,0.01,0.01,0.23,1,0.02,0,0.01,0.01,0,0.04,0,0,0,0,0,0,0.01,0,0,0.32,0,1,1,0.01,0,0.01,1,0.01,0,0,0,0,0,1.34,0.02,0,0,0.02,0,1,0.01,0,0,0,0,0,0.02,0.03,0,0,0,0,1,0.04,0.07,0.64,1,0.09,0,0,0.3,0.62,0,0,0
"261912",74.5,29,2,16,2,54,2,19,32,42,9.75,20,7,111.5,9,7,11,6.1,12,194.67,22,59,12,60.38,18,162,10,1,2,16,134.17,62.63,29,15,1.37,11,66.33,122.83,295.67,66,0.28,4.49,126.5,3.59,14,19,46,89,0,138,4,93,7.46,42,0.02,7.92,6,58,6,42,5,0,0.68,5,3,134,13.33,0.92,0,0.49,0.05,0,0.23,0,0,0,0,0,0,0
