"","X082B","X005B","X009B","X053B","X103B","X052B","X037B","X056B","X020B","X100B","X104B","X087B","X001B","X110B","X108B","X107B","X109B","X112B","X035B","X067B","X128B","X045B","X070B","X019B","X014B","X025B","X169B","X040B","X105B","X028B","X144B","X172B","X003B","X038B","X049B","X170B","X026B","X017B","X004B","X072B","X088B","X093B","X126B","X101B","X187B","X509A","X061B","X078B","X041B","X178B","X012B","X140B","X179B","X150B","X147B","X027B","X176B","X013B","X507A","X016B","X089B","X099B","X186B","X068B","X069B","X030B","X503A","X064B","X148B","X505A","X174B","X142B"
"Otu383",0.1,0.01,0.01,0.14,6,0,0.08,0.01,0.02,2,115,7,0.01,1,0.04,0.01,0.01,0.04,9,0.01,0,0.02,0.13,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.34,0.04,0.27,0,0.01,7.4,0.11,0,0.14,0,0,0.01,4,1.28,0,0.13,1,0.03,0.01,0,0.01,0.01,0,0,0.11,0.1,0,0,0.01,0,0.77,0,0,0,0,0,0,0,0,0,0
"Otu453",0,0,0,0,0,0,0,0,0.03,0.01,2,0,0.46,0,0,0,0,0,0.05,0,0,0,5,0,1,0,0,0,0,0.01,0,0,1,0.01,0,0,0.05,0.34,0.01,0,0,0,0,0,0.02,0,0,0,0,0,0,0.24,0,0.15,0.02,0,0,0,118,0.04,0,0,0,0,0,2,7,0.1,1,0,3,0
"Otu101",0,0,0,0,0,0,0,0.02,0.27,0,10,0.01,13,0.01,0,0,0,0.14,0.03,4,0.01,0.08,0.15,0,59,0,0,2,0.02,8,0.24,0,0.04,2,27,0,0.27,127,0.01,0.03,0.07,0.02,0,0,0.05,0,0.15,3,0.13,0.25,53,0,0,0,0,0.03,18,30,0.6,0,0,0,8,0,0.03,0,0,3,0,0.17,0,0.03
"Otu619",0.69,2,0,16,0.01,7,0.63,1.5,0.14,0,0,0,0.56,0.05,1,0.17,8.4,0.03,20,14,1,0.01,0,8,4,0,0.01,3.53,0.01,0.03,0.12,0,0.05,0.01,0.06,3.24,0,0.01,0,0.85,0,30,0.7,0.05,0,0,3,0.02,0.03,0.02,2,0.12,0,0,0.09,0.03,0.02,0,0.1,0,0.15,0,0,14,0.02,0,0,0,0,0,0,0.93
"Otu106",40,171.56,128,39,118,5,137,39,3.36,27,221,127,97.39,2,24.73,47.48,92,15.02,18,48,3,192.5,26,2.36,24,154,24,26.15,43,29.04,0.03,203.89,1.65,8,16,1.02,34.82,2,0,41,5,0,3,0.31,52,0.02,46,0.67,0.03,131,0,52.18,0.01,0,0.15,23.82,0.03,0,0,0.01,4.66,0,0,3.81,0,0,0,0.02,0,0,0,0.01
"Otu1",172.04,67.69,36,588.85,517,20.24,7,98,331,1744.83,1727,455,696.4,1861,177,46,4733.16,2264,3767.85,865.19,0.01,145,1652,29,112.21,340,65,23.05,621.78,856,9,1516,1327,881,312,129,1624,2318.45,502,175,792,689,0.52,3886,1032.13,1,468,1127,678,436,1482.01,5531,258,485,2254.18,1705,2375,2082,60,67,38,3307,137,61,1588.48,1337,2295,3950,4880,7599,86.39,1098.29
"Otu218",2,11,1.58,18,4,11.76,1.22,32,1,4.14,3,0.41,0.01,1,103,4.18,2,0.12,0.01,6,5,0,4,1,0.32,1.07,0.51,4.23,1,4.63,0.99,0.05,0.22,0.03,5,0.43,7,0.08,0.08,0.01,0.02,0.01,0.77,0.01,0.2,1,1.81,0.15,0,0.01,0.05,1,0,0,0,1,1,0,0,0.01,0,0,0.09,0,0.01,0.05,0,0,0,0,0.07,0
"Otu149",1,0.07,239,9,4,0.01,0.03,4.05,14,2,0.01,0.01,91.52,0.04,0,0,0.02,0.01,11,0,0.09,18,0.34,0,128,5,0,0.03,1,1,0.08,11,6,0.15,0.02,0,35,0.03,0,0,0.02,0.01,0,0.04,0,0,0.02,0.01,0.03,6,0,0,0.04,0.57,0.01,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu923",0.01,0.02,0.02,1,0,0.03,0.02,0.04,0.08,0,0.01,0,0,0,0.02,1,0,12,0,0,0.01,0,2,0.01,0,0,0,0.01,0,0,0,0,0.2,0.08,2,0,0,3.93,0.08,1,0,1,0,0,0,0,0.1,7,1,0,6,0.07,0,3,0.02,2,0.19,0,0.18,0,0.02,0,0,0.09,2,0,0.01,0,0,0,0.04,0
"Otu397",2,9,0.08,1,0.28,0.01,0.55,0.15,0.24,7,0,2,3,0.07,0.03,0.01,0.03,0.01,0.08,3.68,0.37,0,1.25,0.08,0.18,0.05,0.12,0.01,1,7,0.15,0.14,3,0,0.05,0.25,9,0.02,0.01,0.03,0.04,0.02,0.16,0,0,0,0,0.18,0,0.05,0.03,0,0,0.32,0,0.03,2,0,0.02,0,0,0.02,0.2,0,0.01,0,0,0,0,1,0,0
"Otu529",23,0.25,17,3.78,2.12,1,1,9,0,0,0,1,1.46,0.04,0.37,2.71,0.06,0.19,0,0.08,2,0.02,0.02,0.04,27,5,0.3,0.06,0.03,0,0,5,0,0,0.03,0.01,0.03,0.15,0,2.15,0.09,0,1.6,0,0,0,0.03,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.01,0,0,0,0,0,0,0,0
"Otu486",0.34,5,32,0.02,8,0.01,0.05,24,0,0.03,30,0.07,1,0.01,0.26,0.09,0,0,0,22,0.22,0,0,1,1,0.02,0.08,5,0.12,0.09,0.01,0,0,0.06,0,1,0.17,0,0.05,0.01,1,0,0.01,0.02,0.08,0,0.01,0.01,0,0.03,0,0,0,0,0,1,0,0,0,0.03,0,0,0,0,0,0,0,0.01,0,0,0,0.01
"Otu518",0.01,0.05,0.05,0,3,0.04,0.02,3,12.64,4,0.06,0.03,7,0.04,2,0.26,0.06,0.34,1,1,0.01,0.04,2,2,4.36,0.31,0.02,0.02,0.01,0.34,2,0.01,2,1,0.06,0,0,0.1,0,0,1,0.01,0,11,0,0,0.02,0.53,5,0,0,0.07,0.02,3,0,0.01,0.18,0,0,0,0,1.76,0,0,0.59,0,0,0.01,0,0,0,0.01
