"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21"
"result.1" 10.868 135.263 64.177 17.79 53.11 150.034 16.446 62.395 171.014 24.745 60.317 248.087 31.832 63.896 178.458 33.951 80.7710000000002 186.232 40.2450000000001 89.9080000000001 202.369
"result.2" 12.34 121.195 80.012 18.266 51.512 165.735 22.132 61.7149999999999 182.426 25.414 66.257 171.962 31.1429999999999 62.9460000000001 202.154 29.8990000000001 80.4009999999998 218.8 37.338 90.3819999999998 237.487
"result.3" 10.564 118.009 57.408 18.991 49.709 131.512 23.481 54.856 204.382 24.8499999999999 58.839 187.271 28.701 72.6999999999999 233.152 35.4450000000002 63.5360000000001 218.978 40.857 84.1280000000002 208.041
"result.4" 12.067 128.621 81.239 17.502 42.743 151.604 22.054 60.531 165.413 23.1120000000001 70.259 181.972 31.7380000000001 72.073 176.538 35.2550000000001 68.194 223.814 37.9009999999998 90.8490000000002 200.552
"result.5" 10.516 127.743 55.932 20.06 49.421 127.253 25.272 55.858 184.611 25.8180000000001 67.7700000000001 166.317 32.128 78.974 207.1 37.135 80.3600000000001 178.264 41.0369999999998 79.778 216.084
"result.6" 10.92 146.34 52.231 21.049 61.243 144.031 22.591 53.801 165.714 24.39 52.629 171.791 32.633 66.9060000000001 193.977 37.0609999999999 66.9469999999999 179.007 36.903 73.8149999999998 210.042
"result.7" 11.795 134.58 45.866 15.706 41.102 134.092 23.501 52.61 166.296 26.635 65.141 189.028 33.723 61.2040000000001 217.741 36.365 65.229 185.035 42.3779999999999 96.873 252.059
"result.8" 11.495 115.207 43.903 22.408 45.127 143.518 21.59 53.729 175.683 25.159 61.202 167.085 31.831 79.4839999999999 153.058 34.7629999999999 66.8259999999998 182.686 35.644 88.826 216.993
"result.9" 11.61 113.444 61.268 21.056 58.713 132.693 23.372 58.721 176.371 25.894 76.6500000000001 161.754 26.4630000000001 68.688 202.176 34.4480000000001 62.711 201.831 39.0640000000001 97.1189999999999 224.412
"result.10" 9.067 135.901 54.263 18.809 51.791 129.513 22.913 59.775 154.565 29.3119999999999 64.5690000000001 200.763 30.4209999999999 65.8140000000001 182.381 35.922 65.778 192.109 36.202 82.836 228.632
