"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14"
"result.1" 0 0.5 0 0 0.818181818181818 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
"result.2" 0.25 0 0.333333333333333 0.333333333333333 0.25 0.25 0.25 0.75 0.5 0.5 0.5 0.75 0.75 0.75
"result.3" 0.111111111111111 0 0 0 0.636363636363636 0.652173913043478 0.652173913043478 0.363636363636364 0 0.0909090909090909 0.0909090909090909 0.363636363636364 0.363636363636364 0.363636363636364
"result.4" 0.117647058823529 0.142857142857143 0.125 0.0909090909090909 0.25 0.25 0.25 0.882352941176471 0.352941176470588 0.411764705882353 0.588235294117647 0.882352941176471 0.882352941176471 0.882352941176471
"result.5" 0.0384615384615385 0.0588235294117647 0.105263157894737 0 0 0 0.0434782608695652 0.543478260869565 0.347826086956522 0.369565217391304 0.347826086956522 0.41304347826087 0.456521739130435 0.478260869565217
"result.6" 0 0 0 0 0.0833333333333333 0.0789473684210526 0.102564102564103 0.826086956521739 0.760869565217391 0.760869565217391 0.760869565217391 0.717391304347826 0.760869565217391 0.760869565217391
"result.1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"result.2" 0 0 0 0 0.25 0.25 0.25 0.666666666666667 0.666666666666667 0.666666666666667 0.666666666666667 1 1 1
"result.3" 0 0.1 0.1 0.1 0.6 0.583333333333333 0.565217391304348 0.25 0.45 0.45 0.45 0.4 0.5 0.5
"result.4" 0.0869565217391304 0 0 0 0.3 0.275862068965517 0.333333333333333 0.807692307692308 0.423076923076923 0.5 0.653846153846154 0.807692307692308 0.807692307692308 0.846153846153846
"result.5" 0.107142857142857 0 0.05 0.0909090909090909 0.233333333333333 0.206896551724138 0.233333333333333 0.581395348837209 0.441860465116279 0.441860465116279 0.465116279069767 0.534883720930233 0.534883720930233 0.534883720930233
"result.6" 0.0930232558139535 0.0666666666666667 0.0652173913043478 0.0652173913043478 0.214285714285714 0.122448979591837 0.122448979591837 0.722222222222222 0.777777777777778 0.796296296296296 0.796296296296296 0.814814814814815 0.796296296296296 0.796296296296296
"result.1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"result.2" 0 0 0 0 0 0 0 0.666666666666667 0.666666666666667 0.666666666666667 0.666666666666667 0.666666666666667 0.666666666666667 0.666666666666667
"result.3" 0.0909090909090909 0.1 0 0 0.52 0.592592592592593 0.666666666666667 0.5 0.45 0.55 0.5 0.6 0.55 0.55
"result.4" 0 0 0 0 0 0 0 0.636363636363636 0.590909090909091 0.590909090909091 0.636363636363636 0.636363636363636 0.681818181818182 0.681818181818182
"result.5" 0.444444444444444 0 0 0 0.0714285714285714 0.08 0.241379310344828 0.2 0.3 0.32 0.34 0.52 0.46 0.44
"result.6" 0.0263157894736842 0.03125 0.0588235294117647 0.0588235294117647 0.138888888888889 0.15 0.15 0.804347826086957 0.673913043478261 0.695652173913043 0.695652173913043 0.673913043478261 0.739130434782609 0.739130434782609
"result.1" 0 0 0 0 0 0 0 0 0.166666666666667 0.166666666666667 0.166666666666667 0 0.166666666666667 0.166666666666667
"result.2" 0.142857142857143 0 0 0 0.25 0.142857142857143 0.142857142857143 1 0.666666666666667 0.833333333333333 0.833333333333333 1 1 1
"result.3" 0 0 0 0 0.6 0.529411764705882 0.5 0.272727272727273 0.136363636363636 0.136363636363636 0.136363636363636 0.272727272727273 0.363636363636364 0.409090909090909
"result.4" 0 0 0 0 0.166666666666667 0.0909090909090909 0.0909090909090909 0.714285714285714 0.5 0.571428571428571 0.714285714285714 0.714285714285714 0.714285714285714 0.714285714285714
"result.5" 0.027027027027027 0.114285714285714 0.0857142857142857 0.0882352941176471 0.0606060606060606 0.0303030303030303 0.0588235294117647 0.692307692307692 0.596153846153846 0.615384615384615 0.596153846153846 0.596153846153846 0.615384615384615 0.615384615384615
"result.6" 0.0204081632653061 0.0408163265306122 0.0212765957446809 0.06 0.0961538461538462 0.0961538461538462 0.0784313725490196 0.842105263157895 0.824561403508772 0.807017543859649 0.824561403508772 0.824561403508772 0.824561403508772 0.824561403508772
"result.1" 0 0 0 0 0 0.333333333333333 0 0 0.2 0.2 0.2 0.4 0.4 0.4
"result.2" 0 0 0 0 0.5 0.4 0.4 0.75 0.5 0.5 0.75 0.75 0.75 0.75
"result.3" 0 0 0 0 0.1 0.2 0.2 0.368421052631579 0.263157894736842 0.315789473684211 0.263157894736842 0.473684210526316 0.421052631578947 0.421052631578947
"result.4" 0.0909090909090909 0.0588235294117647 0.0588235294117647 0.0625 0.379310344827586 0.354838709677419 0.333333333333333 0.833333333333333 0.666666666666667 0.666666666666667 0.625 0.75 0.833333333333333 0.916666666666667
"result.5" 0 0.0666666666666667 0 0 0 0 0 0.382978723404255 0.297872340425532 0.276595744680851 0.297872340425532 0.297872340425532 0.319148936170213 0.297872340425532
"result.6" 0.0625 0 0 0 0.117647058823529 0.0909090909090909 0.0909090909090909 0.731707317073171 0.707317073170732 0.707317073170732 0.707317073170732 0.731707317073171 0.731707317073171 0.731707317073171
"result.1" 0 0 0 0 0 0 0.5 0.2 0 0 0 0.4 0.2 0.2
"result.2" 0.166666666666667 0.25 0.25 0.25 0.285714285714286 0.285714285714286 0.285714285714286 0.714285714285714 0.428571428571429 0.428571428571429 0.428571428571429 0.714285714285714 0.714285714285714 0.714285714285714
"result.3" 0 0 0 0 0.666666666666667 0.714285714285714 0.727272727272727 0.3125 0.25 0.375 0.375 0.375 0.375 0.375
"result.4" 0 0 0 0.0714285714285714 0.272727272727273 0.19047619047619 0.2 0.714285714285714 0.619047619047619 0.619047619047619 0.619047619047619 0.761904761904762 0.80952380952381 0.761904761904762
"result.5" 0 0.0833333333333333 0.0454545454545455 0.05 0.193548387096774 0.285714285714286 0.21875 0.531914893617021 0.468085106382979 0.446808510638298 0.404255319148936 0.531914893617021 0.531914893617021 0.531914893617021
"result.6" 0.121951219512195 0.0625 0.138888888888889 0.0588235294117647 0.128205128205128 0.15 0.186046511627907 0.8 0.666666666666667 0.688888888888889 0.711111111111111 0.755555555555556 0.755555555555556 0.777777777777778
"result.1" 0.25 0.25 0 0 0.4 0.4 0.4 1 1 1 1 1 1 1
"result.2" 0 0 0 0 0 0 0 0.5 0.25 0.25 0.25 0.25 0.5 0.5
"result.3" 0.166666666666667 0 0 0.2 0.555555555555556 0.615384615384615 0.583333333333333 0.3125 0.3125 0.1875 0.25 0.25 0.3125 0.3125
"result.4" 0.0909090909090909 0.157894736842105 0.105263157894737 0.1 0.2 0.2 0.130434782608696 0.833333333333333 0.666666666666667 0.708333333333333 0.75 0.833333333333333 0.833333333333333 0.833333333333333
"result.5" 0 0.0357142857142857 0 0.032258064516129 0.142857142857143 0.075 0.075 0.473684210526316 0.473684210526316 0.508771929824561 0.526315789473684 0.631578947368421 0.649122807017544 0.649122807017544
"result.6" 0 0 0.025 0.024390243902439 0.0476190476190476 0.024390243902439 0.024390243902439 0.833333333333333 0.703703703703704 0.722222222222222 0.740740740740741 0.740740740740741 0.740740740740741 0.740740740740741
"result.1" 0 0 0 0 0 0 0 0 0 0 0.2 0.2 0.2 0.2
"result.2" 0 0 0 0 0.25 0 0 0.666666666666667 0.5 0.5 0.5 0.5 0.5 0.666666666666667
"result.3" 0 0 0 0 0.733333333333333 0.80952380952381 0.733333333333333 0.166666666666667 0 0 0 0.333333333333333 0.333333333333333 0.333333333333333
"result.4" 0.176470588235294 0 0 0 0.393939393939394 0.40625 0.424242424242424 0.636363636363636 0.590909090909091 0.590909090909091 0.590909090909091 0.909090909090909 0.863636363636364 0.863636363636364
"result.5" 0.0555555555555556 0.0465116279069767 0.0434782608695652 0.0454545454545455 0.236363636363636 0.222222222222222 0.226415094339623 0.761194029850746 0.611940298507463 0.656716417910448 0.626865671641791 0.626865671641791 0.626865671641791 0.611940298507463
"result.6" 0.0327868852459016 0 0.0178571428571429 0.0175438596491228 0.0806451612903226 0.0819672131147541 0.0806451612903226 0.951612903225806 0.887096774193548 0.887096774193548 0.903225806451613 0.919354838709677 0.903225806451613 0.919354838709677
"result.1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"result.2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"result.3" 0 0.428571428571429 0.125 0.222222222222222 0.5 0.521739130434783 0.583333333333333 0.380952380952381 0.19047619047619 0.333333333333333 0.333333333333333 0.523809523809524 0.523809523809524 0.476190476190476
"result.4" 0.0526315789473684 0.0666666666666667 0.0625 0.111111111111111 0.25 0.25 0.28 0.818181818181818 0.636363636363636 0.681818181818182 0.727272727272727 0.818181818181818 0.818181818181818 0.818181818181818
"result.5" 0 0 0 0 0.05 0.05 0.0952380952380952 0.538461538461538 0.41025641025641 0.41025641025641 0.41025641025641 0.487179487179487 0.487179487179487 0.487179487179487
"result.6" 0.0238095238095238 0 0 0 0.0512820512820513 0.0975609756097561 0.0952380952380952 0.803921568627451 0.745098039215686 0.745098039215686 0.745098039215686 0.725490196078431 0.725490196078431 0.745098039215686
"result.1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"result.2" 0 0 0 0 0 0 0 0.5 0.5 0.5 0.5 0.5 0.5 0.5
"result.3" 0 0 0 0 0.5 0.523809523809524 0.523809523809524 0.4 0.2 0.3 0.3 0.5 0.5 0.5
"result.4" 0.0909090909090909 0 0 0 0.4 0.432432432432432 0.461538461538462 0.689655172413793 0.517241379310345 0.551724137931034 0.551724137931034 0.724137931034483 0.724137931034483 0.724137931034483
"result.5" 0 0 0 0 0.111111111111111 0.111111111111111 0.111111111111111 0.432432432432432 0.378378378378378 0.405405405405405 0.432432432432432 0.432432432432432 0.432432432432432 0.432432432432432
"result.6" 0.0425531914893617 0.025 0.025 0.025 0.0666666666666667 0.0666666666666667 0.0869565217391304 0.918367346938776 0.795918367346939 0.795918367346939 0.795918367346939 0.857142857142857 0.857142857142857 0.857142857142857
"result.1" 0 0 0 0.5 0.6 0.571428571428571 0.571428571428571 0.166666666666667 0.166666666666667 0.166666666666667 0.166666666666667 0.333333333333333 0.5 0.5
"result.2" 0.222222222222222 0.166666666666667 0.166666666666667 0.166666666666667 0.545454545454545 0.545454545454545 0.545454545454545 0.777777777777778 0.555555555555556 0.555555555555556 0.555555555555556 0.555555555555556 0.555555555555556 0.555555555555556
"result.3" 0.1 0 0 0 0.476190476190476 0.45 0.5 0.409090909090909 0.227272727272727 0.227272727272727 0.227272727272727 0.5 0.5 0.5
"result.4" 0 0 0 0 0.142857142857143 0 0.0769230769230769 0.684210526315789 0.421052631578947 0.473684210526316 0.421052631578947 0.631578947368421 0.631578947368421 0.631578947368421
"result.5" 0 0.0869565217391304 0.136363636363636 0.0869565217391304 0.05 0.0476190476190476 0.0434782608695652 0.361702127659574 0.446808510638298 0.404255319148936 0.446808510638298 0.404255319148936 0.425531914893617 0.468085106382979
"result.6" 0.0714285714285714 0.0363636363636364 0.0178571428571429 0.0178571428571429 0.0701754385964912 0.0357142857142857 0.0350877192982456 0.852459016393443 0.868852459016393 0.901639344262295 0.901639344262295 0.868852459016393 0.885245901639344 0.901639344262295
"result.1" 0 0 0 0 0.5 0.454545454545455 0.461538461538462 0.625 0.375 0.375 0.5 0.625 0.75 0.875
"result.2" 0 0 0.166666666666667 0.166666666666667 0.285714285714286 0.375 0.375 1 1 1 1 1 1 1
"result.3" 0.166666666666667 0 0.333333333333333 0.2 0.428571428571429 0.6 0.545454545454545 0.333333333333333 0.333333333333333 0.266666666666667 0.266666666666667 0.266666666666667 0.266666666666667 0.333333333333333
