"","X100105.518417","X7912.518472","X7848.518594","X7855.518447","X100161.518473","X100195.518533","X7870.518457","X100003.518448","X7847.518410","X7861.518583","X100077.518436","X7844.518483","X7879.518469","X7862.518458","X100107.518577","X100173.518499","X100178.518498","X100074.518549","X7906.518589","X100207.518411","X7910.518536","X100171.518431","X100154.518504","X100102.518495","X100015.518484","X100165.518637","X100092.518547","X100191.518602","X100222.518527","X100226.518568","X7908.518449","X100083.518623","X100158.518625","X100212.518635","X100046.518563","X7860.518628","X100190.518464","X7904.518600","X100101.518475","X100217.518532","X100225.518544","X100144.518438","X7899.518560","X100088.518508","X100200.518491","X100203.518476","X100151.518550","X100084.518559","X100001.518462","X7911.518610","X100091.518616","X100058.518558","X100072.518459","X100168.518433","X100156.518612","X100065.518569","X100085.518596","X100150.518562","X100197.518442","X100087.518466","X7909.518566","X100060.518463","X100163.518435","X7858.518581","X7662.518467","X100234.518587","X100205.518470","X100164.518477","X100209.518521","X100052.518548","X100198.518598","X100176.518428","X100184.518455","X100079.518554","X100075.518638","X100192.518621","X100174.518479","X100100.518579","X100187.518520","X100115.518501"
"196712",0,1,3,0.48,0,2,0.01,0,0,0.37,0.01,0.03,0.01,0.28,0.18,0.31,0,0.36,0.01,1,2,1,0.11,0,0.2,0.21,0.1,0,1,5,1,0.73,0.01,2.57,1,1,2.6,0.01,0,2,0,0,0,0.05,1,0.28,1.77,0.01,2,2,0,0.07,0.01,0.02,0.06,0.01,1,0.01,0.08,0.1,1,0,0.01,0.05,0,7,1,0.15,0,0.02,0.02,0,0,0,0,0,0,0,0,0
"187983",8,2,8,72.73,0.39,3.1,34,0.29,2.87,74.1,21,18,6,44,0.32,48,2,0.22,0.19,37.53,1,1,2,7.9,0,0.02,4,0.18,0.1,5,29,0.18,2.72,9,0.2,23,15,6,21.02,123,0,0.03,1,0.09,0.05,0.43,45,10,1.01,70.95,0.01,81.06,0.15,0.22,86,0,0.47,42,0,0,11.02,0.18,8,0.01,2,0.03,28,45,0,0.07,0.12,0,0.03,0,0,0,0.86,0.45,0.01,0
"193066",0,6,1,1,0,0.94,0,1,0,0,0,0.08,0,0.02,0.03,0.07,0.01,0,0.04,1,4,0.01,1.87,0,0.09,0.11,0.1,0.08,0.15,0.01,0.02,0.59,0,0,0.08,1,0.01,0.22,2,0,2,0.07,0.02,0.01,2,1,1,1.44,0,0.18,0,0,0.16,0,0.04,0.03,0.01,0,1,0.01,0,1,0.01,0.01,0,0,0.08,0.01,0.03,0.04,0.31,0.48,4,0.02,0.82,0.01,0,0.01,0,0.29
"469709",46,140.06,45,2,0.02,0.02,247.67,1,37,49,153,18,3.95,3,5.79,29,0.16,150.02,159.36,43,0.3,48,50,313.64,94,759.77,4,905.77,403.41,23,6.17,335,202.39,175.21,1,175,4,273,131.51,23.51,1.42,297,83,194,1.38,2.86,13,167,540.76,0.24,5,8,38,108,0.45,442.88,104,3,305.83,0.07,0.01,415,29,2.45,1,0.04,86,1194,198.5,3.42,1413.55,0.46,338,0,0.01,132,2,1,1,0.17
"323257",0,0.01,0.01,0.17,0,12,12,0,0,0,0.04,0.01,0,0,0,1,0.04,0.06,0,0.01,1,70,0,12,0,0,0,0.01,0,0.12,0,2,0,0,0,0,0.54,0,0,0,7,3,0,0,0,0,0.01,0,0.01,1.92,0,0.21,0,0,0,0.01,0,0,0,0,0,0.01,0.1,0,0.29,0.03,0,0.01,0,0.12,0,29.78,5,0.74,50.47,0,69,100.09,0,887
"199182",1,10,2,52.21,1.87,0.02,0.25,0.41,1,0,0.06,9,1.17,9,0.65,1,4,38.2,1,2,3,1,2,56,0.02,0.27,6,2,0.08,0.07,0.22,1.4,3,1.61,0,0,1,2,2,0.01,0,0,2.78,0.16,3.08,0,0,4,0,0.07,0.09,1,0.09,0.01,1.61,0,1,0.02,0,0,0,5,0,0.06,0.01,0,0,0,0.09,0,4,0,0.01,0,0,0.06,0,0,0.02,0
"183618",0.03,0,2,0,0.01,0.01,0.01,3,0.01,0,0.02,0.07,0.01,0.01,0,0.2,0,0,0.27,0.02,0.01,0,2,0,12.76,0.06,0,0.04,1,0.01,0,0.02,7,5,0.01,3,0,2,0.01,0.01,0,0.15,0.01,4,2,0.03,0.21,0.07,0.11,0,0.02,0,0,1,0,0,1,0.15,3,0.01,0,1.62,0,0.01,0,0,0.61,2,0,0.1,3,0,0,0,0,0,0,0.07,0.03,0
"305760",0,2,1,8,0.1,0.63,2,0.03,0.03,0.07,0.5,3,0,0.01,1,11,0.03,66,0.07,6.5,0.47,5,0.51,10,0.07,0.14,0,1,0.26,1,2,0.91,1,0,0.02,0,9.07,0.01,0.04,34,193,0.79,0.01,3,0.03,0.37,0,6,1.2,93,0.84,32.33,4,0.23,0.09,0.58,0.01,0.25,1,9,0.81,0.01,48,0.04,0.69,10.64,0,0.02,0.01,43,0,19.63,2,53,281,34,1,109.06,0,419
"167602",0.52,1,1,0.07,7,0.01,18.76,0.39,2,1,6,0.13,2,0.32,13,0.11,0.01,3,0.06,33.46,0.11,2,1.39,25,2,7,5,0.49,0.03,2,0.04,3,0.22,0.69,19,29.66,0.01,0.23,4,2.27,0,0.04,3,6.62,3,1.69,4,0.51,18,0.14,0.03,4,6.54,0.02,0.12,3,0.01,0,0.47,0.05,0,0.13,0.14,0.55,1,0,6.78,0.32,0,0.05,1.42,0,1.82,0,0,0.02,0.46,0,0,0
"358748",9.1,2,0.17,1,0.08,14,22.9,14.92,0.12,7,0.18,0.39,0.01,2.21,16.99,0.35,2,2,6,1,5,6.87,0.01,3,1,4,2,0.02,2,0.52,4.64,0.11,0.28,1,0.03,2,12,3,2,1,0,0.01,2,1,1,8,3,3.01,10.95,6,0.38,24.45,0.49,1,36.3,0,4.14,0.01,6.24,0,0.04,0.01,8,0.06,0,2.82,0.55,0.05,0,0.07,0.8,0,0.34,0,0,0,0,0,0,0
