"","X082B","X005B","X009B","X053B","X103B","X052B","X037B","X056B","X020B","X100B","X104B","X087B","X001B","X110B","X108B","X107B","X109B","X112B","X035B","X067B","X128B","X045B","X070B","X019B","X014B","X025B","X169B","X040B","X105B","X028B","X144B","X172B","X003B","X038B","X049B","X170B","X026B","X017B","X004B","X072B","X088B","X093B","X126B","X101B","X187B","X509A","X061B","X078B","X041B","X178B","X012B","X140B","X179B","X150B","X147B","X027B","X176B","X013B","X507A","X016B","X089B","X099B","X186B","X068B","X069B","X030B","X503A","X064B","X148B","X505A","X174B","X142B"
"Otu280",0.08,3,0.07,3.07,0.01,1,0.04,0.12,0,0.1,0,0.01,0,0,0.42,2.11,0.11,0,0.02,2.95,4,0.02,0.51,15,0,3,0.01,0.02,18,0.02,0.27,0.01,24,0.08,5,12,0.01,0.14,0,17,15,19,53.15,0,0,15,0,0,0.16,0,0.05,0,0,0,0.07,1.36,1,0,0,0.04,4,0,0,0.02,0,0.01,0,0,0,0,0,0.09
"Otu147",31.66,0.01,6,1,3,0.04,0.01,1,1,1,7,4,1,16.54,0.02,0,2,2,9.48,0.34,0.01,5.46,8.89,0.04,1,12,4.03,2,0,0.26,0.2,3,6,2,0.02,0,11,6,5,0,8,0.05,0,7,0.7,4,2,0.38,2,7,2.19,8,13.51,4.17,31.79,5,2,5,0.54,0.01,0.01,2,0.42,0.13,0.2,8,2.48,0.01,2.14,31,0.02,0.03
"Otu39",0,0,0,0,0.73,0.01,0,0,0.07,0,0.01,99,0.11,0,0,0,0.02,78,0.01,0,0,0.01,0,7,0,0.01,0.04,0,0,0.75,0.04,0.06,52.54,0,0,0.02,565,96,0,0,0,0,0,1.28,23,0.01,0,0,29,0.01,2.56,0.02,27,2,0,0,0,0.13,0.14,0,8.18,0,0.02,0.02,52,0,0.2,0.42,0.03,0,0,109
"Otu717",1,1,0,0,0,0,0,0.01,0,0,0.01,0,0.02,0,0.02,0.02,0,0,0,0.01,0,1,0,0,0.01,0,0,0.02,0.2,0,0,0,0,0.24,0.01,0.01,0,0,1,0,1,1,0.02,0,0.01,0,0,0,0,0,0,0.04,0,0,0.03,0.07,0.01,0.13,0.08,0,0,8,0.04,1,0,1,0.02,0.01,0.03,0,0,0
"Otu436",0.06,2,6.28,0.14,0.12,1,8,1,0,0,0.01,0.52,0.01,3,14,2,24,0,0.26,12,0.11,1,2,2.17,0,0.01,5.03,11,0.09,0.92,5,6,0,0.16,2.95,44,0,0,2.17,51,0,0.15,50.09,0.03,0.01,0.01,1,7,0.1,36.98,29,7,0,0,0,0.61,5,0.22,0,3,6,0.3,0,3,25,0.1,0.19,1,0,0,0.01,88
"Otu22",36,8.65,6,29,135,9,8,193.42,34,57,6,73,84,43,14,4,19,57,167,32.77,4,83,81,141.49,39,65,5,9,0.27,75,7,18,101,408.97,13.82,20,58,620,43.52,33,45,0.99,357.69,148,104,100.95,169.04,30,22,20,24,29,14,14,24,21,6,1208.21,379.15,3,1,239.89,3.59,4,128,49,29,82,9,86,37,23
"Otu616",0.38,0,0.01,1.65,2,0,0.02,0,2,0.01,7,1,2,0.11,0.01,0.01,1,3,3,0,2,0.55,5,0.09,0.18,3,8,1,0.12,0.03,0.01,0.01,1,0.01,0,0.01,9,5.51,1,0,0.93,0,0.01,0,0.01,1,0.1,0,0.24,0.02,0,0,0.12,0,2,0,0,0.27,0,0,0,0,0,0,0,0,0,0.04,0,2,0,0.01
"Otu208",12,12,45,2.36,37,20,96.27,253,0,0,0,0.37,0.06,0,253.58,77,0,0.01,0.01,313,0.11,0,0,4,0,0,0.33,0.43,0.17,0,39,0,0,0.03,18.2,0.02,0,0.03,0,0.1,0,0,0.27,0,0,0,0,0,0,169.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu284",70.74,29.31,3,7,39,53.99,35.35,7.92,27.51,34,5,9,6,1.05,7,1,39.52,2,1,12,1,39.6,52,6,1,18,42,1,49.62,16,8,16,7,2,8,7,2,83.4,0.25,5,8,4,48.11,26,20,1,0.02,3,166.36,23.62,5.96,3,42.27,24,17,19,28.01,11,0.27,8,2,50.1,2,32.32,2,0.12,43.01,4.89,3.81,13.23,0.63,6
"Otu169",24.35,0.12,37,6,1.51,17.5,0.57,0.39,0.15,14.83,8.15,10,13,10,0.28,0.11,14,59.46,48,0.84,6,1,6,1,6,73.32,8,0.2,1.8,7,10,82.77,12,17,0.42,3,10,74,0.29,17,8,5,71.53,38,38,2,38,13,23,0.04,6,1,97,13.39,0.06,2,0.25,3.61,29,19.16,1,0.85,0,0.41,5.33,7,34.24,0.62,1.41,0.11,0,33.37
