"","082B","005B","009B","053B","103B","052B","037B","056B","020B","100B","104B","087B","001B","110B","108B","107B","109B","112B","035B","067B","128B","045B","070B","019B","014B","025B","169B","040B","105B","028B","144B","172B","003B","038B","049B","170B","026B","017B","004B","072B","088B","093B","126B","101B","187B","509A","061B","078B","041B","178B","012B","140B","179B","150B","147B","027B","176B","013B","507A","016B","089B","099B","186B","068B","069B","030B","503A","064B","148B","505A","174B","142B"
"Otu886",1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Otu530",0,3,5,2,0,0,0,4,4,3,0,1,0,6,5,0,6,0,16,2,0,0,0,1,0,0,0,1,0,0,0,0,0,3,4,0,2,0,0,0,1,0,0,0,0,1,2,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"Otu70",46,0,268,39,229,0,0,80,0,0,0,0,0,0,68,34,0,0,0,251,0,0,0,0,0,0,0,0,0,0,105,0,0,0,35,90,0,0,0,0,18,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0
"Otu608",2,0,0,2,15,0,0,5,0,0,0,0,0,0,3,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu252",0,0,0,0,16,11,94,0,0,252,0,0,65,0,0,1,7,0,0,0,0,0,0,122,0,0,0,0,0,0,35,10,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"Otu203",22,6,125,0,0,2,7,0,17,0,0,10,0,0,1,0,0,0,40,1,2,0,0,4,5,57,8,0,1,0,0,24,0,5,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu685",0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,4,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,0,0
"Otu281",0,41,0,21,0,4,4,0,0,0,0,22,0,0,0,0,14,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu75",0,0,0,8,0,1,1,0,0,0,42,0,0,47,0,0,36,0,60,0,0,0,138,0,0,0,0,0,121,0,0,0,0,53,0,0,0,0,89,0,0,0,63,0,0,0,0,0,0,0,0,125,0,0,0,197,0,0,0,0,0,0,107,0,0,63,0,0,0,0,0,0
"Otu86",16,7,5,21,43,2,0,15,57,107,14,89,0,23,0,0,10,77,90,12,0,8,137,12,0,14,14,5,7,11,4,0,11,21,0,26,44,0,13,3,0,11,12,0,0,1,3,0,11,0,4,5,34,50,3,9,12,0,0,13,1,0,5,0,0,0,0,0,11,0,0,14
"Otu201",0,0,0,0,1,15,0,8,0,2,0,0,0,28,136,22,11,0,1,1,0,0,17,7,0,0,0,80,0,24,0,0,0,0,1,38,0,0,2,83,1,24,0,1,1,0,10,14,9,6,18,0,0,0,0,15,0,0,0,0,0,0,0,0,0,9,0,0,3,1,3,0
"Otu348",0,0,0,0,11,0,3,0,5,8,21,0,2,2,0,0,0,0,79,0,0,24,0,0,5,0,0,14,0,0,0,12,11,0,0,0,0,15,3,0,0,71,0,0,0,52,4,1,0,25,0,0,48,33,0,0,25,0,0,6,0,0,0,0,0,0,37,0,0,0,0,0
"Otu369",0,0,0,0,0,0,0,0,9,2,117,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu794",0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Otu342",0,0,0,0,0,0,0,0,97,0,0,0,3,2,0,0,0,33,0,0,16,0,81,0,0,81,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu624",0,1,0,0,0,0,2,1,0,2,1,0,19,1,0,0,0,0,2,0,0,0,0,0,7,6,0,0,0,1,0,3,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu211",4,1,7,4,0,0,0,6,0,0,0,0,33,8,74,0,12,0,0,0,0,7,8,2,11,0,7,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,24,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0
"Otu170",21,1,12,20,0,3,1,4,1,0,0,2,0,0,0,0,0,0,21,0,0,0,9,0,32,0,38,0,11,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu280",0,3,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,4,0,0,15,0,3,0,0,18,0,0,0,0,0,5,12,0,39,0,17,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,25,0
"Otu19",0,0,11,1,73,0,0,14,25,133,0,15,41,60,27,0,50,32,380,11,0,5,61,66,340,4,21,0,0,21,0,0,93,0,122,0,40,373,0,6,147,174,0,1213,560,77,0,6,53,38,80,167,381,254,520,53,0,1121,0,0,0,1377,0,0,891,474,427,0,936,778,1296,0
"Otu450",0,26,0,0,0,3,0,6,0,0,0,0,0,7,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
