"","ESC.1.15.OPR.279514","ESC.1.24.OPL.279654","ESC.1.34.OPR.279524","ESC.1.33.OPL.279468","ESC.1.9a.OPL.279644","ESC.1.28.OPR.279603","ESC.1.62.OPL.279669","ESC.1.53.OPL.279544","ESC.1.45.OPL.279704","ESC.1.28.OPL.279617","ESC.1.34.OPL.279562","ESC.1.42.OPL.279703","ESC.1.49.OPL.279522","ESC.1.72.OPR.279523","ESC.1.61.OPR.279506","ESC.1.45.OPR.279442","ESC.1.65.OPL.279620","ESC.1.55.OPR.279483","ESC.1.60.OPR.279487","ESC.1.71.OPR.279471","ESC.1.35.OPR.279455","ESC.1.68.OPR.279573","ESC.1.20.OPL.279671","ESC.1.23.OPL.279686","ESC.1.44.OPR.279527","ESC.1.63.OPL.279420","ESC.1.37.OPR.279696","ESC.1.47.OPL.279646","ESC.1.49.OPR.279650","ESC.1.26.OPR.279484","ESC.1.43.OPL.279611","ESC.1.53.OPR.279665","ESC.1.1.OPR.279601","ESC.1.65.OPR.279502","ESC.1.26.OPL.279470","ESC.1.17.OPR.279511","ESC.1.29.OPL.279486","ESC.1.55.OPL.279670","ESC.1.48.OPR.279680","ESC.1.71.OPL.279661","ESC.1.61.OPL.279525","ESC.1.43.OPR.279635","ESC.1.50.OPL.279499","ESC.1.69.OPL.279699","ESC.1.38.OPR.279528","ESC.1.56.OPR.279444","ESC.1.62.OPR.279652","ESC.1.17.OPL.279551","ESC.1.19.OPL.279430","ESC.1.22.OPR.279421","ESC.1.32.OPL.279633","ESC.1.72.OPL.279581","ESC.1.51.OPR.279561","ESC.1.20a.OPL.279437","ESC.1.30.OPL.279456","ESC.1.48.OPL.279572","ESC.1.59.OPR.279629","ESC.1.5.OPR.279659","ESC.1.24.OPR.279606","ESC.1.44.OPL.279532","ESC.1.64.OPR.279439","ESC.1.30.OPR.279564","ESC.1.47.OPR.279560","ESC.1.50.OPR.279637","ESC.1.20.OPR.279692","ESC.1.39.OPL.279608","ESC.1.51.OPL.279500","ESC.1.60.OPL.279582","ESC.1.64.OPL.279491","ESC.1.46.OPL.279623","ESC.1.56.OPL.279540","ESC.1.33.OPR.279647","ESC.1.1.OPL.279586","ESC.1.58.OPL.279556","ESC.1.37.OPL.279622","ESC.1.40.OPL.279667","ESC.1.46.OPR.279457","ESC.1.31.OPL.279464","ESC.1.19.OPR.279460","ESC.1.52.OPR.279589"
"6821",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3931",0,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0.8,0,0,0,2,22,0,0,0,0,0,0,0,1,0,0,0.01,0,0,0,0,0,0.02,0,0,0,0,0.01,1,0,0,0,7.36,0,0,2,0,0,0.01,1,0,0,3,0,0,0,0,0,0,2,2,0,0,0,0.09,0,0,0.01,0,4.63,0,0
"33043",0,0,1,0,2,0,0,0,0,0,1.77,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.19,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.01,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3909",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,1,0,0,0.01,0,0,0,0,0,0
"484442",0,0.03,0,0,0,0,0,0,0,0.01,0,0,0,0,2,0,0,0,10,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,3,0,0,0,0.03,0,0,0,0,0,0,0,0.01,0,0,0,0
"68338",0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.1,0,0,0,0,2,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0.01,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"528842",0,0,0,0,0,0.01,0.01,1,0,0,0,0,0,0.01,0.16,0,0,0,1,0,0,1,0,0.03,0,0.01,1,0,1,0,0,0,0,0,0,0.04,0,0,0,0,1,0,0,0.01,0.02,1,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0.13,0,0,0.02,1,0,0,1,0
"518033",0,0.02,0,0,0.02,0,0,1,0,0,0,0,0,0.01,1,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"360574",0,0,0.01,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0.01,0.01,0,0,0,0,0,1,0,0,0,0,0.23,0,0.01,0.01,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.01,0,0,0,0,0,0,0.02,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
"156701",0,0,1,0,0.27,1,0.01,0,0,0,0.43,0,1,0.01,0,0,0,0,1,0,0,0,0,0.02,0,2,0,0,1,0.01,0,0.01,0,0,0.01,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0.01,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0.11,0,0,0,0,0
"563047",0,57.6,1.8,1,0,1,27,1,1,1.52,0,0.04,2,21,8,0.05,2,0.04,0.07,0.36,8,0,3,0.05,3,0.02,5,8.78,1,12,11.94,0,1,0,7,0.03,12,0,0,8,4,18.65,3,3,7,0,11,0.17,4,3,7.97,6,3,1,0.24,0.46,0,0.05,0.05,8,0,0.27,0,0.14,0,0.01,0.49,0.05,0.04,0.01,6,0.47,0.04,0.03,0.02,0.03,0,0,0.01,11
"147281",0,0,1,0,1.7,0.02,0,0,2,0,6.54,2,0,1,0,1,0,0,0,0,0,1,0,0,0,7,2,0,1,9.5,1,0.19,0,0.03,3,1,0,0,0,0,0,0.01,0,1,1.59,0,0,0,0.02,0,1,0,0,0,1,2,0,0,0,0.01,0.02,0,0,0,1,0,0.02,0,0,0.06,0,2.18,0,0,0.11,0,0,0,0,0
"11191",0,0.01,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"277679",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"92430",0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.01,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"428237",0,1,0.08,5,0.01,2,9,1,34,5.65,1,1,1,5.96,3,1.48,9,2,0.05,1.16,11,0.07,29,0.03,35,0.2,1,10,4,1.5,14,0,3,4,0.05,0.09,11,0.08,0.04,0.07,1.27,68.11,24,1,10,0.01,123,3.9,1,13,0.01,0,25,0.19,12,1,0.01,0.11,1,21,0,2,0.09,32,0,0,58,0,0,0.08,4.85,2.45,0,0,0.04,0.01,0.01,0,0,1
"88701",0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,2,0.01,3,26,0,0,0,3,0,0.01,3,0,0,1,0.04,0,17,0,0.01,0.01,0.6,0.05,0,23,0.53,0,0,0.01,0,0,0,0,0,0.02,1,5,0.36,0.04,0,0,0,0,0,0,3,2,0,0,0,0.14,0,1,4,0,0,0.31,5,0,0,0.01,0.01,17,0.01,0
"570154",0,0,0,1,0.06,0,1,0,1,0,0.01,0,0,0,0,0,0,0,0,0,0.05,1,0.01,0,0,1,0,2,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.01,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"169775",1,0,1,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"58301",0,2,2,69.01,0.76,12.26,6,2,6,3,6,0,5,8,1,0.01,0.61,0,8.51,5,1,3,4,1,0,34,3,3,0.05,19.29,0.02,1.89,11,0,7,0.03,0.03,0.04,0,0.29,2,0.27,2,1,4,0.94,2,0.17,10,0.07,0.01,4,2,25.03,2,5.69,2,3,1,0.04,0.49,2,0,0,1.92,0.25,0.1,7,5,0,1,7,0.15,0.01,0,1,0,3,4,2
"185187",5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,1,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0
"108816",0,11,0.01,0.01,0,2,0.1,0.06,11.14,11,0.01,0,0,0,6,8,2,0.03,16,0,0,0,27,40,0.03,1,0,0,0,0.04,0.04,0.03,0,1,0,0,5,0.02,0,0,5,0,0.13,0.01,0,13,0.01,0,0,6.02,11,0,0.18,8,0,0,0,6.68,0,0,0.41,0,0,0,0.09,0.01,0,3,0.01,0,3,0,16.56,5,0,4,0,0,0,0
"2176",1,0.05,0,0,0,0.06,0,0,0,4,0,0,0,0,1,0,0.01,1,3.43,0,0,0,0.01,61,0.08,0,0,0,0,0,0,0,0,0,0,0,8,0.05,0.01,0,1,0,0,0,0,0.01,2,0,0,0,12.39,0,0,0.02,0,0,0.01,3,0,5,3,0,0,0.01,0,0,0,1.84,0.01,0,0,0,0,0,0,0.19,0,2.43,0,0
"94166",18.39,28,1.73,5.58,0,1,86,1,46.59,2,0,2,5,8,13,2,6,66.93,0.44,23,3,0,7,5.1,27,0,0.29,0.98,7,23,7,0.32,2,4.65,1,2,54.32,3,1,18,1.39,8,58,1,104,16,27,0.08,60,3,2,30.63,6,1,1,4,0.01,1,0.1,40,11.15,25.83,18,29,0,0.87,51,0.01,61.47,7,10,0,28.51,4,9,0.02,1,1,0.38,0
"376387",0,0,0.05,0,0,0,0,0,0.01,0,0,0,0,1,0,0,0,0,0,0.03,0,0,0,0.01,0,0,0,0.02,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0
"17538",0,0.01,0,0.42,0,1,0.16,4,3,0.02,0,1,0.05,0.02,0.36,0.37,0,0.01,0,3,0.01,0,1,0,0.02,0.01,3,0,0,0.04,0,0.04,0.04,1,0,0,3,0.01,0,0,3,0,0.01,2,2,0.01,1,0,1,0,0,0,0.01,0,0.01,0.02,0,0.04,1,0.05,0,0.18,0,1,0,0.02,2,0.03,0,1,0,1,0,0,0,2,0.04,0,0,0
"254175",0,89,0,0,0,0,0,0.09,0.16,2.3,0,0,0,0,9,0,0.06,0,56,0,0,0,0.05,135.27,0,0.01,2,0,0,2,0,0.01,0,0,0,0,0,0,0,0,3,0,0.62,1,0.01,0.31,0.01,0,0.02,2,1,0,0,1,0,0.01,0.02,29,0,0.01,10,0,0,0.01,0,0,0,16,0.02,6,1.87,0.23,0.21,0,0,0.09,0.08,21,0,0
"201471",0.17,2,28,9,27,9,2,4,70.39,7,19,0.39,17,5,0.62,7,2,0,1,0.06,1,10,3,6.73,0,49,2,7,5,59.74,1.49,2,0.2,2,10,3,0.26,0,1,0,0.14,8,1,1,1,0.04,0,1,2,0.85,0.1,2,1.43,2,10,23,4,1,2,0,0.06,13,0.01,0,28,0.01,0,0.04,1,0,0.13,4.03,1,0,1,0.01,0,0.03,2,3.11
"195061",0,0,0.01,0.01,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0.01,0,2,0.01,0,0,0,0,0,0.03,0,0.18,1,0,0,0.01,0,0.07,2,0,0,0,0,0,0,0,0,0,0,0.01,0.07,0,0.03,0.12,0,0,0,0,0.01,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0
"240104",0,0,0,1,0,0,0,0,0,0,0,0.01,0,0,0,0,1,0,8,0,0,0,0.01,16,0,0,0,0,0,0,0.03,0,0.01,2,0,0,0.07,0,0,0,0.03,0,0,0,0,3,0,0,0,0.02,0.3,0,0.12,0.01,0,0,0.01,2,0,0,1,0,0,0,0,0,0,0.16,0.03,0,0,0,0,0,0,0.01,0,1.09,0,0
"38741",1.03,0.01,0,0.02,0,1,1,0.01,0,0.01,0,0,0,0,0,0,2,1,0.03,0,0,0,3,0,0.09,0,0,0,1,0,0.91,0.01,0,0.01,0,0.01,1,1,1,0,0.17,0.01,0.01,0,0,0,1,0,0.01,2,0,0,0.48,0,0,0,0.01,17,0,0.01,0.87,0,1,3,0,0,0,0.03,0.12,0,0.03,0,0.01,0.05,0.09,0.01,0.01,17,1,0
"3859",0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0
"370431",0,28,68,32,3.04,52.65,4,12,3,31,57,11,8,5,69,1,10,10,90.48,12,49,20,79.08,31,56,3,21,51,16,98,35.3,13,27,5,3.03,20,20,9,0.04,7,27,127.4,6,31,20,38,14,28,10,34,2,9,25,80.22,48.77,1,96,87,27,46,67,3,37.6,83.87,0.23,177,10,14,134.01,24,59,35,1.17,27,18,56,39,46.04,2.39,79.85
"68350",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"14157",0,0.16,0,0.02,0,0.39,3,0.01,1,2,0,0,0,0,10,0,1,0,14,0,0.01,0,2,2,0,0,0,0,0.01,0,0.03,0,0,0,0,0,0.07,0,0,0,4,0,0,0,0,7,0.01,0,0.01,0.02,3.9,0,1,10,0,0,0.3,5,0,0,0.61,0,0,0,0,8,0.01,2,1,0,0.01,0,0.11,0,0,7,0,0.36,0,0
"513402",0,0,0,0,0.06,0.19,0,0,1,2,0.01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.01,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.02,3,0,0.01,0,0,0,0,0,0,0,0,0,0
"442949",28,152,71,78,3.3,4.67,81,290.1,8,17.73,37,158,22,28,234.5,0.11,60,85,262.95,82,454,121,55,417,144,111,68,127,109,31.69,260,100,147,127,280.83,35,20,86.68,46,50,156,106,74,108,98,136,149,46,90,43,212.61,78.82,233,14,37,62.26,137,668,230,122,314.61,34,70.57,183,5.42,202,224,306,297,84,249,53,13,0.34,95,265,101,22,8,192
"360229",0,3,0,0.02,0,1,4,0.16,0,1,0,0,0.01,0,2,0.01,1,0.78,0.04,2,0,0,3.87,0.02,8,0,0,0,7,0,1,0,0.14,0,0,0.14,0.76,0.32,0,0,3,0.03,0.55,0.07,0.01,0.01,1,0,1,373,0,0,1.85,0.66,0,0,0.01,1.02,0,1,0,10,0.11,0.51,0,1,0,0.01,0,0,7.47,0,0.01,4,0.09,0.02,0,0,0,0
"585307",0,0,1,0,0,0,0,0,1,0,0.01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.14,0,0,0.01,0,0,0,0,0,0,0,0,0,0
"39572",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.09,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
