"","082B","005B","009B","053B","103B","052B","037B","056B","020B","100B","104B","087B","001B","110B","108B","107B","109B","112B","035B","067B","128B","045B","070B","019B","014B","025B","169B","040B","105B","028B","144B","172B","003B","038B","049B","170B","026B","017B","004B","072B","088B","093B","126B","101B","187B","509A","061B","078B","041B","178B","012B","140B","179B","150B","147B","027B","176B","013B","507A","016B","089B","099B","186B","068B","069B","030B","503A","064B","148B","505A","174B","142B"
"Otu306",0,0,0,3,0,2,0,0,0,0,0,58,0,0,125,0,60,0,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu877",0,0,0,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0,4,3,0,0,0,0,0,0,0,8,0,0,0,0,1,0,11,0,0,19,0,0,0,0,0,17
"Otu402",6,3,11,0,0,0,5,0,4,1,0,2,4,1,0,0,0,0,0,6,0,6,6,0,0,19,16,0,3,5,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu893",1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu462",15,0,7,0,1,2,0,10,0,0,0,0,35,4,0,0,0,0,0,0,3,21,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu280",0,3,4,0,0,1,0,0,0,0,0,0,0,0,21,0,0,0,0,0,4,0,0,15,0,3,0,0,0,0,0,0,0,0,5,12,0,39,0,17,15,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
"Otu339",0,16,0,49,0,19,62,0,0,0,0,0,0,0,0,0,0,0,0,1,197,0,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu62",0,0,0,0,0,28,0,4,568,1,0,33,0,0,94,10,28,0,0,10,8,145,247,0,52,16,0,0,0,0,61,72,402,0,0,1,0,0,0,0,0,0,33,0,1,51,0,0,0,0,0,0,0,0,0,0,118,0,0,0,21,0,0,1,0,0,0,0,0,0,153,0
"Otu786",0,0,9,0,0,4,9,1,0,0,0,0,0,0,16,1,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"Otu534",0,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,65,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu458",0,5,12,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu133",153,6,0,0,451,8,16,0,0,0,0,429,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,938,0,0,0,0,0,0,0,0,0,0,0,37,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu457",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,19,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,2,0
"Otu106",0,0,128,39,118,5,137,39,0,27,221,0,0,2,48,0,92,0,18,48,3,0,26,6,24,154,24,0,43,0,0,0,0,0,16,3,0,0,0,41,5,0,0,0,52,0,46,0,0,131,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu131",49,1,0,24,1,0,0,0,0,272,0,0,3,0,0,0,0,120,0,9,0,0,97,0,0,0,0,0,0,0,0,0,14,662,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu242",9,7,1,8,37,0,5,4,17,0,13,6,0,0,10,5,0,0,14,17,1,47,28,9,0,4,0,2,10,13,2,0,3,0,6,3,0,6,0,17,8,10,0,0,0,0,0,9,0,0,5,1,0,3,0,2,0,0,0,0,1,11,0,2,0,9,11,0,0,0,0,0
"Otu114",0,0,0,0,12,0,0,1,21,0,0,0,0,0,7,0,19,37,69,1,0,5,0,0,0,3,0,0,0,0,0,158,14,51,1,0,0,0,0,0,0,0,0,91,12,0,10,6,0,0,0,0,0,64,20,0,0,0,0,12,0,118,0,0,0,0,0,0,0,0,30,0
"Otu237",19,0,8,0,0,0,0,0,3,0,3,0,0,0,0,0,35,0,0,0,0,0,11,6,0,0,0,0,0,0,0,0,0,0,0,0,278,16,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Otu630",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,35,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu692",0,0,0,0,1,0,0,0,0,2,1,0,1,2,6,0,1,1,0,0,1,2,0,0,0,12,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,5,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu512",0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu679",0,0,0,0,0,0,0,0,0,0,1,1,0,6,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu261",0,1,0,0,0,0,0,0,1,0,3,0,6,0,0,0,2,3,1,0,0,2,0,0,32,0,0,2,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,6,0,0,0,0,1,0,1,6,27,0,3,7,2,1
"Otu490",0,0,6,10,6,0,3,6,0,11,0,21,0,0,0,0,0,9,0,0,0,0,0,0,0,0,19,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu939",1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"Otu427",0,0,0,0,1,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,61,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu667",0,0,5,9,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,34,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu151",18,0,7,9,0,0,5,8,0,9,21,0,5,16,13,5,7,11,30,7,0,0,29,6,1,0,10,3,5,0,1,0,0,31,26,0,0,7,24,7,6,1,2,0,0,1,8,23,3,4,0,0,0,0,0,5,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0
"Otu934",8,0,7,0,0,5,4,10,0,0,0,0,0,1,0,0,9,0,0,11,6,0,0,3,0,0,0,10,0,2,8,0,0,0,5,0,0,0,0,7,9,0,32,0,0,0,4,3,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
"Otu142",32,7,8,6,17,2,9,0,34,15,3,0,0,0,25,0,0,42,50,42,7,3,51,6,0,0,0,13,0,0,56,4,0,59,8,7,14,0,5,9,20,13,0,6,0,5,0,0,11,3,55,15,0,12,0,10,6,20,0,4,27,6,0,1,7,0,169,22,4,4,0,0
"Otu169",3,1,37,0,0,0,0,0,13,15,9,10,13,10,0,0,0,0,48,0,6,0,6,1,6,0,8,0,0,7,0,3,12,17,3,0,10,74,0,17,8,5,0,38,38,0,38,13,23,0,6,1,97,0,0,0,0,0,29,0,1,0,0,0,0,7,0,0,0,0,0,0
"Otu162",0,33,0,11,39,5,0,0,36,0,0,0,532,0,0,0,0,9,0,0,0,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu25",0,0,128,0,206,5,91,39,0,0,0,0,0,0,55,63,0,0,250,0,12,137,146,79,85,0,140,33,48,464,0,0,0,31,0,98,46,0,0,0,72,0,0,0,0,0,0,0,0,0,82,0,0,15,0,97,0,0,0,203,1,63,0,86,0,0,0,0,0,45,0,0
"Otu678",0,0,0,0,11,0,3,0,7,4,0,0,0,0,6,4,0,10,0,0,1,4,5,0,0,0,0,0,0,1,10,5,2,0,0,0,0,0,0,0,0,1,5,0,0,6,0,16,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
"Otu30",31,0,0,5,24,0,0,35,8,1,0,0,6,526,0,22,2,45,228,0,0,0,6,55,1,0,0,12,0,0,0,36,0,120,17,0,137,2,14,0,56,0,18,0,107,0,0,32,0,0,163,0,3,170,0,0,15,0,0,0,1,77,0,0,40,0,282,85,69,29,21,0
"Otu198",62,46,8,72,0,11,17,61,0,0,0,7,0,0,0,4,12,0,0,0,18,0,0,0,0,0,0,0,0,0,7,0,0,0,52,34,0,0,0,0,0,0,6,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu191",25,0,125,14,10,0,18,0,17,16,0,13,1,11,0,0,45,2,0,29,0,74,68,4,0,4,16,0,2,0,4,95,73,7,7,1,0,2,0,108,35,0,2,22,46,3,10,9,0,15,55,14,0,6,0,0,13,0,14,21,0,7,2,13,0,0,0,3,101,0,0,15
"Otu60",0,0,0,2,0,0,0,0,59,0,0,0,0,0,1,0,0,0,79,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,1,0,0,0,0,0,0,8,41,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
"Otu219",0,1,8,0,5,0,1,0,0,0,0,5,35,0,0,0,0,3,0,0,0,0,0,0,4,0,0,6,0,2,2,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,1,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu15",19,1,3,0,92,3,0,8,8,220,75,16,0,54,51,0,0,21,0,71,0,11,0,0,0,0,71,0,0,0,18,88,0,0,5,0,0,152,0,33,0,0,0,0,681,0,13,0,3,104,151,123,0,58,454,23,6,0,64,65,0,0,0,21,806,78,0,0,347,0,141,0
"Otu886",1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Otu143",0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,1,3,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu333",0,0,2,0,0,0,0,2,11,72,0,0,0,0,11,2,0,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,24,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu207",11,4,8,3,5,0,2,12,21,21,14,2,36,11,1,1,16,15,11,0,1,49,18,8,7,0,0,16,10,5,2,24,57,2,0,3,3,9,20,1,0,5,0,8,0,11,0,2,0,0,7,0,0,0,35,4,5,26,23,0,0,0,0,0,0,2,35,20,12,0,62,5
"Otu412",3,4,0,0,0,0,0,0,20,0,2,0,0,0,10,0,11,0,1,0,0,0,0,0,5,0,2,0,0,2,0,3,17,23,0,0,56,5,0,0,16,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
