"","082B","005B","009B","053B","103B","052B","037B","056B","020B","100B","104B","087B","001B","110B","108B","107B","109B","112B","035B","067B","128B","045B","070B","019B","014B","025B","169B","040B","105B","028B","144B","172B","003B","038B","049B","170B","026B","017B","004B","072B","088B","093B","126B","101B","187B","509A","061B","078B","041B","178B","012B","140B","179B","150B","147B","027B","176B","013B","507A","016B","089B","099B","186B","068B","069B","030B","503A","064B","148B","505A","174B","142B"
"Otu93",9,6,0,0,0,0,0,6,0,6,0,0,19,23,0,0,13,1,18,0,2,0,0,1,0,39,0,0,0,21,0,0,0,6,36,0,0,3,8,0,0,39,0,1,7,0,16,0,0,26,13,0,11,0,77,0,0,0,125,0,4,0,48,0,0,0,0,0,0,0,0,0
"Otu339",0,16,0,49,0,19,62,0,0,0,0,0,0,0,0,0,0,0,0,1,197,0,0,3,0,0,12,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu672",0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0
"Otu66",3,0,0,0,6,0,0,7,2,10,0,0,0,11,0,0,23,15,0,22,2,0,1,36,75,9,0,0,4,330,12,4,322,0,0,0,7,0,0,0,1,0,4,1,8,97,0,0,1,0,0,0,22,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Otu198",0,0,0,72,0,11,17,61,0,0,0,7,0,0,0,4,12,0,0,0,18,0,0,97,0,0,16,389,0,0,7,0,0,0,52,34,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0,0
"Otu746",33,0,0,53,0,0,7,0,0,0,0,0,0,0,0,4,0,0,0,0,25,0,0,0,0,0,0,45,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu948",0,0,0,3,0,0,0,3,0,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,12,0,2,0,1,0,0
"Otu230",0,42,6,68,0,21,22,33,0,0,0,6,0,0,0,0,11,0,0,0,53,0,0,0,0,0,5,21,0,0,11,0,0,0,0,57,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0
"Otu895",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu545",0,10,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu51",0,0,1,5,0,0,0,7,0,139,118,0,21,36,0,0,92,3,0,2,3,55,69,0,0,18,0,25,0,0,0,132,9,15,0,0,453,150,0,0,0,0,0,0,93,25,0,0,0,18,37,3,308,0,0,6,0,2,0,17,0,0,8,0,0,0,0,52,0,0,191,0
"Otu472",0,5,0,3,2,0,0,1,10,0,2,1,5,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,1,0,12,3,12,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Otu412",0,0,61,0,0,0,0,5,20,0,2,0,0,0,10,0,11,0,1,0,0,5,0,0,0,3,0,4,0,2,0,0,17,23,0,0,56,5,0,0,16,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"Otu542",0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,1,2,0,0,0,0,0,0,5,0,2,1,0,2,0,6,0,1,0,0,0,0,0,2,0,1,0,0
"Otu390",0,17,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu585",3,0,0,4,7,1,2,0,2,1,0,2,7,6,0,5,4,2,0,0,1,0,0,2,0,0,0,1,1,0,0,0,3,2,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Otu443",0,59,0,0,0,4,34,0,0,0,0,102,0,0,31,0,0,0,0,14,0,0,0,3,0,0,0,1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,15,0,0,0,0,0,0,0,0
"Otu387",0,0,37,0,13,9,0,1,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,22,2,102,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu526",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,18,0,0,0,0,1,0,0,0,0,0,5,0,6,2,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu629",0,0,0,0,1,0,0,0,2,0,5,0,0,0,0,0,0,2,3,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu16",0,0,0,2,0,0,0,0,14,47,461,0,0,23,1,0,125,55,1,0,0,52,41,0,33,0,0,0,0,3,0,2,68,0,0,0,33,0,0,48,0,46,0,0,165,64,13,0,11,17,54,3,0,135,0,0,209,93,0,0,1,135,0,0,0,0,0,69,16,0,89,0
"Otu277",0,0,1,0,11,0,0,1,0,0,0,3,36,0,0,0,1,0,0,0,0,0,0,0,2,0,2,1,0,4,5,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,3,0,3,18,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu422",0,1,15,0,0,0,0,17,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu189",0,15,0,0,0,2,0,44,0,0,0,0,0,1,9,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu907",0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,18,0,0,0,1,0,0
"Otu172",9,129,143,17,43,56,46,14,0,0,0,0,0,0,18,15,0,0,0,66,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,9,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu170",21,1,12,0,0,3,1,4,0,3,156,2,0,0,0,0,0,0,21,0,1,140,9,0,0,0,38,0,11,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu37",898,0,0,1427,0,18,68,0,0,0,0,1913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,1068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu704",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6,0,0,0,7,0,0,1,0,0,0
